,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
39,{'$oid': '61c8c8dae8e3b248c77b5dab'},Magala Academy,3-089-1-093-03,100.0,365,100.0,2021
173,{'$oid': '61c8c8dae8e3b248c77b5e19'},Giduno Growers Co-Op. Society,3-089-1-067-02,100.0,203,100.0,2021
230,{'$oid': '61c8c8dae8e3b248c77b5da8'},Buginyaya S/Cty Hqtrs.,3-089-1-039-01,87.16049383,412,100.0,2021
231,{'$oid': '61c8c8dae8e3b248c77b5da9'},Buginyaya S/Cty Hqtrs.,3-089-1-039-02,85.81081081,296,100.0,2021
283,{'$oid': '61c8c8dae8e3b248c77b5dad'},Kitobo,3-089-1-061-01,81.19047619,450,100.0,2021
284,{'$oid': '61c8c8dae8e3b248c77b5dae'},Kibanda T/C,3-089-1-069-01,89.96539792,306,100.0,2021
298,{'$oid': '61c8c8dae8e3b248c77b5e1a'},Bumugusha Hc Iii,3-089-1-068-02,90.25641026,197,100.0,2021
305,{'$oid': '61c8c8dae8e3b248c77b5e65'},Giduno Cath. Church,3-089-1-041-01,100.0,367,99.72752044,2021
306,{'$oid': '61c8c8dae8e3b248c77b5e67'},St. Peter Paul Kamu Cath. Chur.,3-089-1-094-02,96.26436782,355,99.71830986,2021
411,{'$oid': '61c8c8dae8e3b248c77b5dac'},Buginyanya  P.S.,3-089-1-044-02,83.2460733,192,100.0,2021
426,{'$oid': '61c8c8dae8e3b248c77b5e1b'},Bilinda Gcs,3-089-1-071-03,87.79069767,172,100.0,2021
477,{'$oid': '61c8c8dae8e3b248c77b5daa'},Bukibologoto G.C.S,3-089-1-089-01,87.73584906,212,100.0,2021
565,{'$oid': '61c8c8dae8e3b248c77b5e7e'},Zebulenyi C.O.U,3-089-1-099-02,63.2996633,298,99.66442953,2021
586,{'$oid': '61c8c8dae8e3b248c77b5ef8'},Buginyanya Gcs,3-089-1-098-02,92.65734266,289,99.30795848,2021
592,{'$oid': '61c8c8dae8e3b248c77b5f18'},Bumugibole Aid Post,3-089-1-096-02,88.04523425,630,99.20634921,2021
605,{'$oid': '61c8c8dae8e3b248c77b5f6c'},Gamangweni C.O.U,3-089-1-097-01,86.56126482,257,98.83268482,2021
613,{'$oid': '61c8c8dae8e3b248c77b5fa4'},Gaboyisi T C,3-089-1-098-01,96.63461538,211,98.57819905,2021
649,{'$oid': '61c8c8dae8e3b248c77b5f2e'},Malabiri C.W.C,3-089-1-097-02,86.93693694,229,99.12663755,2021
654,{'$oid': '61c8c8dae8e3b248c77b5f46'},Makyele,3-089-1-043-01,80.41237113,202,99.00990099,2021
675,{'$oid': '61c8c8dae8e3b248c77b6006'},Marama,3-089-1-053-05,89.47368421,97,97.93814433,2021
683,{'$oid': '61c8c8dae8e3b248c77b6049'},Buginyanya Comprehensive,3-089-1-095-01,94.88054608,307,97.39413681,2021
699,{'$oid': '61c8c8dae8e3b248c77b5ec8'},Buzemunwa Sda  Church,3-089-1-062-01,88.82681564,180,99.44444444,2021
710,{'$oid': '61c8c8dae8e3b248c77b5f16'},Kabembe T.C,3-089-1-093-02,90.4109589,380,99.21052632,2021
714,{'$oid': '61c8c8dae8e3b248c77b5f47'},Wandabiri,3-089-1-069-02,84.56375839,303,99.00990099,2021
724,{'$oid': '61c8c8dae8e3b248c77b5f8a'},Womunga P.Sch.,3-089-1-058-01,73.85620915,156,98.71794872,2021
729,{'$oid': '61c8c8dae8e3b248c77b5fe6'},Bugwa Pr. Sch.,3-089-1-067-01,98.8372093,263,98.09885932,2021
732,{'$oid': '61c8c8dae8e3b248c77b6008'},Luzzi Pr Sch,3-089-1-071-01,88.39779006,193,97.92746114,2021
747,{'$oid': '61c8c8dae8e3b248c77b5e95'},Tabali Centre,3-089-1-044-01,87.34693878,250,99.6,2021
754,{'$oid': '61c8c8dae8e3b248c77b5ec0'},Bufumbo Pag Church,3-089-1-058-02,72.48677249,190,99.47368421,2021
806,{'$oid': '61c8c8dae8e3b248c77b6055'},Nataba,3-089-1-056-01,97.18309859,292,97.26027397,2021
841,{'$oid': '61c8c8dae8e3b248c77b5f55'},Nakitokolo Coffee Store,3-089-1-069-03,94.44444444,384,98.95833333,2021
859,{'$oid': '61c8c8dae8e3b248c77b5ff4'},Buzemunwa Catholic Church,3-089-1-062-02,83.40080972,255,98.03921569,2021
865,{'$oid': '61c8c8dae8e3b248c77b602c'},Mayiyi Catholic Church,3-089-1-099-01,90.55944056,295,97.62711864,2021
893,{'$oid': '61c8c8dae8e3b248c77b5f02'},Simu Pri. Sch,3-089-1-092-02,66.74757282,415,99.27710843,2021
951,{'$oid': '61c8c8dae8e3b248c77b5ee1'},Bumugibole Pri. Sch.,3-089-1-095-02,96.12903226,317,99.36908517,2021
980,{'$oid': '61c8c8dae8e3b248c77b5fb7'},Mabondye Tc,3-089-1-066-02,75.20325203,253,98.41897233,2021
1091,{'$oid': '61c8c8dbe8e3b248c77b6123'},Masubi,3-089-1-060-02,88.10572687,243,93.82716049,2021
1155,{'$oid': '61c8c8dbe8e3b248c77b614b'},Lukola Playground,3-089-1-072-04,77.22772277,111,92.79279279,2021
1171,{'$oid': '61c8c8dbe8e3b248c77b61d5'},Bulago S/C Hqt,3-089-1-045-01,85.07936508,358,89.38547486,2021
