,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
4005,{'$oid': '61c8c8dee8e3b248c77b6c4a'},Ossi Pr School,4-033-1-034-01,81.16710875,529,73.91304348,2021
5956,{'$oid': '61c8c8dfe8e3b248c77b72d6'},Babu,4-033-1-034-06,88.15789474,111,71.17117117,2021
5984,{'$oid': '61c8c8dfe8e3b248c77b7395'},Pulum Alala,4-033-1-033-03,53.15315315,179,70.94972067,2021
7011,{'$oid': '61c8c8e0e8e3b248c77b7834'},Anyang Primary School,4-033-1-034-05,84.14634146,240,69.58333333,2021
7532,{'$oid': '61c8c8e0e8e3b248c77b7a15'},The Cacunut Cungalwoki,4-033-1-018-04,67.74193548,680,69.11764706,2021
7650,{'$oid': '61c8c8e0e8e3b248c77b7bb7'},Ondyekoyika Chapel,4-033-1-016-07,64.25702811,403,68.73449132,2021
7928,{'$oid': '61c8c8e0e8e3b248c77b7b3a'},Nyarakwacha Chapel,4-033-1-015-03,75.81395349,337,68.84272997,2021
8549,{'$oid': '61c8c8e1e8e3b248c77b7d29'},Pacero P School (N-Z),4-033-1-037-05,64.66666667,465,68.38709677,2021
8668,{'$oid': '61c8c8e1e8e3b248c77b7d62'},Achana Cotton Store,4-033-1-030-04,82.78688525,202,68.31683168,2021
9724,{'$oid': '61c8c8e2e8e3b248c77b8315'},Ramogi Pri Sch,4-033-1-018-01,71.90635452,461,67.02819957,2021
9737,{'$oid': '61c8c8e2e8e3b248c77b838c'},Adhwongo Coop Society,4-033-1-021-01,79.49260042,732,66.93989071,2021
10100,{'$oid': '61c8c8e2e8e3b248c77b8517'},Thecwa Alala,4-033-1-015-01,63.43283582,428,66.58878505,2021
10111,{'$oid': '61c8c8e2e8e3b248c77b8571'},Lee Pri Sch,4-033-1-016-01,62.97709924,442,66.5158371,2021
10245,{'$oid': '61c8c8e2e8e3b248c77b8534'},Parombo S/County Hqrs,4-033-1-032-03,78.14726841,655,66.5648855,2021
10758,{'$oid': '61c8c8e2e8e3b248c77b8627'},Juba,4-033-2-005-03,70.86330935,553,66.36528029,2021
11120,{'$oid': '61c8c8e3e8e3b248c77b8940'},Ther Okworo,4-033-1-030-06,77.36625514,406,65.7635468,2021
11909,{'$oid': '61c8c8e3e8e3b248c77b8a22'},Ogunju C.O.U,4-033-1-010-04,66.11295681,494,65.58704453,2021
12249,{'$oid': '61c8c8e4e8e3b248c77b8b85'},Ossi Health Centre,4-033-1-034-04,74.35064935,493,65.31440162,2021
12721,{'$oid': '61c8c8e4e8e3b248c77b8e67'},St. Kizito Alwala Primary School,4-033-1-021-04,85.33685601,1170,64.7008547,2021
12872,{'$oid': '61c8c8e4e8e3b248c77b8f1f'},Anjat,4-033-2-006-02,58.69565217,285,64.56140351,2021
12975,{'$oid': '61c8c8e4e8e3b248c77b8ea0'},Kulukwac,4-033-1-036-02,84.73684211,679,64.6539028,2021
13194,{'$oid': '61c8c8e4e8e3b248c77b8fb1'},Abindu Primary School,4-033-2-005-02,81.41891892,481,64.44906445,2021
13612,{'$oid': '61c8c8e4e8e3b248c77b9330'},Aliekra Church Of Uganda,4-033-1-021-05,83.93782383,326,63.80368098,2021
13665,{'$oid': '61c8c8e4e8e3b248c77b92c2'},Kikobe Health Centre Ii,4-033-1-016-04,77.08333333,155,63.87096774,2021
13737,{'$oid': '61c8c8e4e8e3b248c77b92f4'},Alala,4-033-1-032-05,72.09302326,495,63.83838384,2021
14028,{'$oid': '61c8c8e5e8e3b248c77b93d0'},Omyer Chapel,4-033-1-020-08,84.0,391,63.68286445,2021
14485,{'$oid': '61c8c8e5e8e3b248c77b9511'},Pamitu Central,4-033-1-029-02,91.85185185,249,63.45381526,2021
14758,{'$oid': '61c8c8e5e8e3b248c77b9703'},Oweko Pri. Sch (N-Z),4-033-1-043-05,39.86254296,493,63.0831643,2021
14783,{'$oid': '61c8c8e5e8e3b248c77b9582'},Ayugi Primary School,4-033-1-002-04,68.75,344,63.37209302,2021
14848,{'$oid': '61c8c8e5e8e3b248c77b95b0'},Kucwiny Sub-County Hqtrs,4-033-1-013-03,63.88888889,300,63.33333333,2021
14884,{'$oid': '61c8c8e5e8e3b248c77b9711'},Olyeko Chapel,4-033-2-004-06,66.66666667,482,63.07053942,2021
14978,{'$oid': '61c8c8e5e8e3b248c77b9610'},Nyarogalo Lower,4-033-1-032-06,71.42857143,411,63.26034063,2021
15052,{'$oid': '61c8c8e6e8e3b248c77b9810'},Katanga Cotton Store,4-033-1-030-05,74.80106101,628,62.89808917,2021
15298,{'$oid': '61c8c8e6e8e3b248c77b9861'},Penji-Oryang Pr Sch,4-033-1-036-01,85.51912568,608,62.82894737,2021
15597,{'$oid': '61c8c8e6e8e3b248c77b9a58'},Alego Pri. School,4-033-1-034-02,87.89237668,381,62.4671916,2021
15607,{'$oid': '61c8c8e6e8e3b248c77b9a8b'},Lara Centre (N-Z),4-033-1-009-05,88.97338403,471,62.42038217,2021
15659,{'$oid': '61c8c8e6e8e3b248c77b9a5f'},Alierkra Pri Sch,4-033-1-033-04,64.02116402,650,62.46153846,2021
15669,{'$oid': '61c8c8e6e8e3b248c77b9a89'},Akaba Pri Sch,4-033-1-015-02,69.65174129,322,62.42236025,2021
16377,{'$oid': '61c8c8e6e8e3b248c77b9b3b'},Ocello Parish Headquarters,4-033-1-014-05,70.6185567,647,62.28748068,2021
16399,{'$oid': '61c8c8e7e8e3b248c77b9bcd'},Mungujakisa P/Sch,4-033-1-004-01,85.30066815,759,62.18708827,2021
16646,{'$oid': '61c8c8e7e8e3b248c77b9dbf'},Lara Centre,4-033-1-009-03,78.31325301,571,61.82136602,2021
16726,{'$oid': '61c8c8e7e8e3b248c77b9eae'},Pacero  P  School,4-033-1-037-02,80.17751479,568,61.61971831,2021
16769,{'$oid': '61c8c8e7e8e3b248c77b9e19'},Aringa Primary School,4-033-1-014-02,79.89130435,332,61.74698795,2021
