,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
2381,{'$oid': '61c8c8dce8e3b248c77b64b2'},Kololo Centre,4-103-1-001-05,53.02325581,290,80.68965517,2021
2410,{'$oid': '61c8c8dce8e3b248c77b6590'},Ola-Trading Center,4-103-1-003-05,78.46153846,165,79.39393939,2021
2609,{'$oid': '61c8c8dce8e3b248c77b6822'},Te-Odong Market,4-103-1-038-03,68.66666667,407,76.65847666,2021
3305,{'$oid': '61c8c8dde8e3b248c77b6bc2'},Pamamunu,4-103-1-012-06,71.86147186,322,74.22360248,2021
3489,{'$oid': '61c8c8dde8e3b248c77b6c19'},Teibule Center,4-103-1-016-07,87.16216216,427,74.00468384,2021
3812,{'$oid': '61c8c8dde8e3b248c77b6a23'},Agoga P.A.G Church,4-103-1-030-04,80.08658009,319,75.23510972,2021
4847,{'$oid': '61c8c8dee8e3b248c77b6efb'},St. Anna Chapel,4-103-1-015-07,76.57657658,314,72.61146497,2021
5311,{'$oid': '61c8c8dee8e3b248c77b701c'},Adakingo H/Q,4-103-1-004-06,75.0,327,72.17125382,2021
5526,{'$oid': '61c8c8dfe8e3b248c77b731a'},Adengawic T/C,4-103-1-035-04,76.09756098,588,71.08843537,2021
5976,{'$oid': '61c8c8dfe8e3b248c77b7358'},Aweiwot Chapel,4-103-1-011-02,75.64102564,459,71.02396514,2021
6116,{'$oid': '61c8c8dfe8e3b248c77b754a'},Adyel 'B' T/C,4-103-1-031-07,79.75460123,250,70.4,2021
6141,{'$oid': '61c8c8dfe8e3b248c77b7468'},Palatai T/C,4-103-1-031-06,69.51871658,273,70.6959707,2021
6239,{'$oid': '61c8c8dfe8e3b248c77b750c'},Te-Pama Munu,4-103-1-007-07,74.7826087,366,70.49180328,2021
6321,{'$oid': '61c8c8dfe8e3b248c77b77b8'},Te-Society,4-103-1-012-05,56.23268698,525,69.71428571,2021
6476,{'$oid': '61c8c8dfe8e3b248c77b76a9'},Lela Tc,4-103-1-012-07,74.18397626,497,70.02012072,2021
