,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
539,{'$oid': '61c8c8dae8e3b248c77b5fd4'},Kachomo Pri. Sch.,3-072-1-023-02,86.23853211,444,98.1981982,2021
1011,{'$oid': '61c8c8dbe8e3b248c77b60a1'},Kachomo C.O.U,3-072-1-023-03,56.02294455,543,96.31675875,2021
1456,{'$oid': '61c8c8dbe8e3b248c77b610d'},Bulangira Muslim Pri Sch,3-072-1-023-01,53.76344086,296,94.25675676,2021
1622,{'$oid': '61c8c8dbe8e3b248c77b6353'},Bulangira Disabled Association,3-072-1-023-08,78.35820896,160,83.75,2021
3042,{'$oid': '61c8c8dde8e3b248c77b6957'},Kotinyanga Church Of Uganda,3-072-1-026-02,53.59477124,404,75.74257426,2021
3320,{'$oid': '61c8c8dde8e3b248c77b6a1d'},Nalubembe Catholic Church,3-072-1-013-03,66.88172043,618,75.24271845,2021
3953,{'$oid': '61c8c8dde8e3b248c77b6b0a'},Suni A,3-072-1-013-05,70.46783626,458,74.67248908,2021
3989,{'$oid': '61c8c8dde8e3b248c77b6c07'},Bulefe Catholic Church,3-072-1-007-05,66.7896679,366,74.04371585,2021
4658,{'$oid': '61c8c8dee8e3b248c77b6eb4'},Kaperi Pri. Sch,3-072-1-008-01,51.92307692,429,72.72727273,2021
4738,{'$oid': '61c8c8dee8e3b248c77b6f61'},Butove Primary School,3-072-1-012-03,43.0,276,72.46376812,2021
5067,{'$oid': '61c8c8dee8e3b248c77b7018'},Kakoli Centre,3-072-2-003-02,64.72727273,381,72.17847769,2021
5242,{'$oid': '61c8c8dee8e3b248c77b71b9'},Kadimukoli P.S.,3-072-2-006-01,51.17647059,475,71.57894737,2021
5364,{'$oid': '61c8c8dee8e3b248c77b7077'},Bunamwera Mosque,3-072-2-012-03,71.30801688,329,72.03647416,2021
5690,{'$oid': '61c8c8dee8e3b248c77b7289'},Bulumba Primary School,3-072-1-034-02,57.91044776,470,71.27659574,2021
5729,{'$oid': '61c8c8dfe8e3b248c77b73bf'},Kikalu Catholic Church,3-072-1-030-03,58.20895522,378,70.8994709,2021
5748,{'$oid': '61c8c8dee8e3b248c77b728c'},Namwamba Mosque,3-072-1-017-01,43.66925065,543,71.27071823,2021
5808,{'$oid': '61c8c8dee8e3b248c77b7259'},Mijoi Mosque,3-072-1-006-03,46.98795181,698,71.34670487,2021
6068,{'$oid': '61c8c8dfe8e3b248c77b7402'},Kaperi Apostolic Church,3-072-1-029-02,60.06493506,435,70.8045977,2021
6337,{'$oid': '61c8c8dfe8e3b248c77b7642'},Kavule T.C,3-072-1-013-02,40.08438819,338,70.1183432,2021
6458,{'$oid': '61c8c8dfe8e3b248c77b75ef'},Idudi Mosque,3-072-1-033-02,56.81818182,564,70.21276596,2021
6536,{'$oid': '61c8c8dfe8e3b248c77b747b'},Lukwansa Mosque,3-072-1-034-01,56.60377358,450,70.66666667,2021
6667,{'$oid': '61c8c8dfe8e3b248c77b74d1'},Nakabale T/C,3-072-1-005-01,71.00271003,523,70.55449331,2021
6741,{'$oid': '61c8c8dfe8e3b248c77b766b'},Bukooli,3-072-2-010-02,43.07692308,371,70.08086253,2021
7120,{'$oid': '61c8c8e0e8e3b248c77b7906'},Bunyolo A,3-072-2-010-01,49.04632153,529,69.37618147,2021
7171,{'$oid': '61c8c8e0e8e3b248c77b798c'},Buchera Mosque,3-072-2-012-02,57.35294118,491,69.24643585,2021
7359,{'$oid': '61c8c8e0e8e3b248c77b7b48'},Musenye'S Tree,3-072-1-012-04,42.78606965,292,68.83561644,2021
7888,{'$oid': '61c8c8e0e8e3b248c77b79c1'},Nabiketo P/S,3-072-1-001-02,63.35078534,552,69.20289855,2021
8019,{'$oid': '61c8c8e1e8e3b248c77b7c82'},Lerya Church Of Uganda,3-072-1-029-03,40.97859327,477,68.55345912,2021
8319,{'$oid': '61c8c8e1e8e3b248c77b7df2'},Kaperi Catholic Church,3-072-1-008-02,39.45783133,487,68.1724846,2021
8513,{'$oid': '61c8c8e1e8e3b248c77b7c62'},Wairagala Pri Sch,3-072-1-011-02,52.39520958,487,68.58316222,2021
8604,{'$oid': '61c8c8e1e8e3b248c77b7f4e'},Lighole Primary School,3-072-1-012-01,52.11267606,523,67.87762906,2021
8752,{'$oid': '61c8c8e1e8e3b248c77b7dbf'},Kamonkoli T/C,3-072-2-007-03,32.60273973,535,68.22429907,2021
8909,{'$oid': '61c8c8e1e8e3b248c77b7eaf'},Lyama Sec. Sch,3-072-1-010-04,58.7804878,603,67.9933665,2021
8969,{'$oid': '61c8c8e1e8e3b248c77b7ea5'},Nanzala Cou,3-072-2-014-02,68.63543788,722,68.00554017,2021
8980,{'$oid': '61c8c8e1e8e3b248c77b7ee7'},Chali Pri Sch,3-072-1-001-01,50.87336245,674,67.95252226,2021
9201,{'$oid': '61c8c8e2e8e3b248c77b8037'},Likipi Mosque,3-072-1-028-02,65.07352941,402,67.66169154,2021
9248,{'$oid': '61c8c8e2e8e3b248c77b7fcd'},Kotinyanga Pri. Sch.,3-072-1-026-04,61.44578313,245,67.75510204,2021
9514,{'$oid': '61c8c8e2e8e3b248c77b8201'},Mugiti S/C Hqtrs,3-072-2-021-02,59.69581749,391,67.26342711,2021
9571,{'$oid': '61c8c8e2e8e3b248c77b81dd'},Kakoli Pri. Sch,3-072-2-003-01,53.93518519,642,67.28971963,2021
9740,{'$oid': '61c8c8e2e8e3b248c77b81a7'},Nangeye Pri. Sch,3-072-1-017-03,54.49101796,248,67.33870968,2021
9920,{'$oid': '61c8c8e2e8e3b248c77b832d'},Jami Primary School,3-072-2-010-03,49.74358974,291,67.01030928,2021
9947,{'$oid': '61c8c8e2e8e3b248c77b8223'},Bunamwera T.C,3-072-1-029-01,59.66386555,177,67.23163842,2021
9976,{'$oid': '61c8c8e2e8e3b248c77b831d'},Kabuna Discipleship Church,3-072-1-007-04,41.58730159,470,67.0212766,2021
10082,{'$oid': '61c8c8e2e8e3b248c77b8476'},Musede Dan'S Mango Tree,3-072-1-017-04,34.44816054,448,66.74107143,2021
10128,{'$oid': '61c8c8e2e8e3b248c77b8408'},Naluli Catholic Church,3-072-1-012-02,65.19480519,576,66.84027778,2021
10228,{'$oid': '61c8c8e2e8e3b248c77b84cd'},Nansanga Health Centre Iii,3-072-1-035-02,61.42857143,315,66.66666667,2021
10306,{'$oid': '61c8c8e2e8e3b248c77b8559'},Idudi Pri Sch,3-072-1-033-01,61.72344689,750,66.53333333,2021
10317,{'$oid': '61c8c8e2e8e3b248c77b83e8'},Revival Sec. School,3-072-1-023-05,69.25373134,501,66.86626747,2021
10503,{'$oid': '61c8c8e2e8e3b248c77b859c'},Kameruka P.S.,3-072-2-015-01,69.37669377,555,66.48648649,2021
10773,{'$oid': '61c8c8e2e8e3b248c77b86a0'},Mugiti High School,3-072-2-021-01,48.04177546,578,66.26297578,2021
10843,{'$oid': '61c8c8e2e8e3b248c77b86fb'},Suni  Pri Sch,3-072-1-013-01,38.41166937,932,66.20171674,2021
10901,{'$oid': '61c8c8e2e8e3b248c77b86b5'},Namajja C.O.U,3-072-1-015-02,46.31578947,717,66.24825662,2021
