,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
1658,{'$oid': '61c8c8dbe8e3b248c77b640d'},Akaidebe,4-086-1-027-03,87.39495798,150,82.0,2021
1852,{'$oid': '61c8c8dbe8e3b248c77b6374'},Abworojem,4-086-1-008-07,76.84210526,115,83.47826087,2021
1948,{'$oid': '61c8c8dbe8e3b248c77b62a0'},Mot Mot Atwero C.O.U,4-086-1-008-06,65.15151515,156,85.8974359,2021
2026,{'$oid': '61c8c8dce8e3b248c77b653b'},St. Peter'S Centre Obia,4-086-1-025-04,79.3814433,284,79.92957746,2021
2124,{'$oid': '61c8c8dce8e3b248c77b6649'},Te - Abala,4-086-1-019-02,77.91798107,413,78.4503632,2021
2150,{'$oid': '61c8c8dce8e3b248c77b6545'},Okwii,4-086-1-010-03,79.6460177,144,79.86111111,2021
2276,{'$oid': '61c8c8dce8e3b248c77b66fd'},Otongere,4-086-1-008-01,76.10619469,148,77.7027027,2021
2280,{'$oid': '61c8c8dce8e3b248c77b672c'},Barjobi,4-086-1-008-08,72.72727273,249,77.51004016,2021
2295,{'$oid': '61c8c8dce8e3b248c77b67a0'},Cike,4-086-1-004-03,85.02202643,297,77.1043771,2021
2324,{'$oid': '61c8c8dce8e3b248c77b66be'},Angica,4-086-1-005-02,74.61928934,254,77.95275591,2021
2337,{'$oid': '61c8c8dce8e3b248c77b670d'},Okwang T.C,4-086-1-010-04,82.14285714,76,77.63157895,2021
2544,{'$oid': '61c8c8dce8e3b248c77b6599'},Okere City,4-086-1-004-04,82.38095238,271,79.33579336,2021
2743,{'$oid': '61c8c8dce8e3b248c77b64b4'},Cogogwa,4-086-1-010-09,72.82608696,119,80.67226891,2021
2912,{'$oid': '61c8c8dce8e3b248c77b6767'},Anang C.O U,4-086-1-019-04,77.66497462,260,77.30769231,2021
2916,{'$oid': '61c8c8dce8e3b248c77b6787'},Bar-Ocok Health Centre Ii,4-086-1-007-02,56.63716814,469,77.18550107,2021
2973,{'$oid': '61c8c8dce8e3b248c77b67b4'},Otudo,4-086-1-025-01,88.56152513,789,77.05956907,2021
2977,{'$oid': '61c8c8dce8e3b248c77b67d1'},Obangakonya,4-086-1-005-04,76.05633803,204,76.96078431,2021
2982,{'$oid': '61c8c8dce8e3b248c77b67f1'},Bar-Ilec (B-Z),4-086-1-008-05,70.1863354,216,76.85185185,2021
2987,{'$oid': '61c8c8dce8e3b248c77b680e'},Otipe,4-086-1-008-04,78.60465116,284,76.76056338,2021
3107,{'$oid': '61c8c8dde8e3b248c77b69fc'},Amon Pe Winya,4-086-1-010-08,79.09090909,158,75.3164557,2021
3140,{'$oid': '61c8c8dde8e3b248c77b68c2'},Otongere,4-086-1-008-09,75.53956835,189,76.19047619,2021
3318,{'$oid': '61c8c8dde8e3b248c77b6a0d'},Aluga Primary School,4-086-1-016-03,88.72727273,372,75.2688172,2021
3376,{'$oid': '61c8c8dde8e3b248c77b6a96'},Okun P.7 School,4-086-1-021-02,85.57692308,566,74.91166078,2021
3385,{'$oid': '61c8c8dde8e3b248c77b6ac1'},Awee-Ayela Society,4-086-1-003-04,81.95876289,278,74.82014388,2021
3496,{'$oid': '61c8c8dde8e3b248c77b6859'},Akuta,4-086-1-024-03,85.65891473,370,76.48648649,2021
3569,{'$oid': '61c8c8dde8e3b248c77b68a2'},Acenkongo,4-086-1-025-03,90.28776978,396,76.26262626,2021
3581,{'$oid': '61c8c8dde8e3b248c77b68fd'},Bung Okodo,4-086-1-008-10,78.07486631,250,76.0,2021
3778,{'$oid': '61c8c8dde8e3b248c77b6b0e'},Obur Mango Tree Shade,4-086-1-006-04,79.71698113,292,74.65753425,2021
3783,{'$oid': '61c8c8dde8e3b248c77b6b41'},Abilonyero,4-086-1-003-02,78.97897898,455,74.50549451,2021
3819,{'$oid': '61c8c8dde8e3b248c77b6a65'},Aminogwang,4-086-1-002-03,84.96420048,593,75.04215852,2021
3825,{'$oid': '61c8c8dde8e3b248c77b6aa6'},Olilim P.7,4-086-1-013-07,91.97080292,199,74.87437186,2021
3893,{'$oid': '61c8c8dde8e3b248c77b6af4'},Te - Obwolo,4-086-1-019-03,78.53403141,257,74.70817121,2021
3894,{'$oid': '61c8c8dde8e3b248c77b6af5'},Okudongole 'A',4-086-1-024-04,80.99547511,340,74.70588235,2021
3898,{'$oid': '61c8c8dde8e3b248c77b6b10'},Oluro P.7 School (B-Z),4-086-1-023-03,83.1372549,359,74.65181058,2021
3946,{'$oid': '61c8c8dde8e3b248c77b6adb'},Amoni P.7 School,4-086-1-015-02,87.86407767,313,74.76038339,2021
3991,{'$oid': '61c8c8dde8e3b248c77b6c12'},Te Ataba,4-086-1-006-05,83.43195266,231,74.02597403,2021
3994,{'$oid': '61c8c8dde8e3b248c77b6c28'},Atirayon Primary School (B-Z),4-086-1-014-06,78.84615385,219,73.97260274,2021
4015,{'$oid': '61c8c8dee8e3b248c77b6c82'},Amyelo,4-086-1-023-02,80.73878628,634,73.8170347,2021
4044,{'$oid': '61c8c8dee8e3b248c77b6d7a'},Acungapenyi,4-086-1-002-05,75.28089888,382,73.29842932,2021
4173,{'$oid': '61c8c8dee8e3b248c77b6dee'},Ogweno P.7 School,4-086-1-022-01,86.41732283,710,73.09859155,2021
4242,{'$oid': '61c8c8dee8e3b248c77b6c2b'},Alurotany,4-086-1-026-01,77.01149425,484,73.96694215,2021
4360,{'$oid': '61c8c8dee8e3b248c77b6dd9'},Obangakonya,4-086-1-005-05,89.7810219,201,73.13432836,2021
4450,{'$oid': '61c8c8dee8e3b248c77b6c9e'},Olarolobo C.O.U,4-086-1-011-04,82.08955224,301,73.75415282,2021
4484,{'$oid': '61c8c8dee8e3b248c77b6dce'},Okuronyang,4-086-1-010-06,73.68421053,581,73.14974182,2021
4583,{'$oid': '61c8c8dee8e3b248c77b6f1e'},Apyen Pwot,4-086-1-024-02,86.69354839,390,72.56410256,2021
4630,{'$oid': '61c8c8dee8e3b248c77b6fd2'},Amunga,4-086-1-011-02,65.07352941,397,72.29219144,2021
4643,{'$oid': '61c8c8dee8e3b248c77b6e6c'},Oget Prmary School,4-086-1-028-01,80.07662835,376,72.87234043,2021
4693,{'$oid': '61c8c8dee8e3b248c77b6fb3'},Oputuru,4-086-1-015-03,94.07894737,235,72.34042553,2021
4792,{'$oid': '61c8c8dee8e3b248c77b6f06'},Ayeki (A-A),4-086-1-001-01,66.31578947,405,72.59259259,2021
4803,{'$oid': '61c8c8dee8e3b248c77b6f76'},Olao - Aluka (A-A),4-086-1-020-01,85.86666667,537,72.43947858,2021
4808,{'$oid': '61c8c8dee8e3b248c77b6fa3'},Apaku,4-086-1-004-02,83.71212121,398,72.36180905,2021
4831,{'$oid': '61c8c8dee8e3b248c77b6eaa'},Ameri Football Field,4-086-1-009-07,79.38931298,389,72.75064267,2021
4932,{'$oid': '61c8c8dee8e3b248c77b6fe0'},Teobwolo Community School,4-086-1-021-03,81.36645963,238,72.26890756,2021
5056,{'$oid': '61c8c8dee8e3b248c77b71cc'},Ewit,4-086-1-013-05,82.66666667,362,71.54696133,2021
5079,{'$oid': '61c8c8dee8e3b248c77b7062'},Ogoro,4-086-1-011-06,83.25892857,630,72.06349206,2021
5296,{'$oid': '61c8c8dee8e3b248c77b71b0'},Obanga Pewany Catholic Church,4-086-1-012-03,82.16783217,440,71.59090909,2021
5519,{'$oid': '61c8c8dfe8e3b248c77b72e2'},Ayeki (B-Z),4-086-1-001-04,65.0,423,71.15839243,2021
5522,{'$oid': '61c8c8dfe8e3b248c77b72f7'},Alangi P.7 School (B-Z),4-086-1-018-02,82.63473054,478,71.12970711,2021
5574,{'$oid': '61c8c8dee8e3b248c77b72b5'},Awonoluk,4-086-1-011-05,75.0,410,71.2195122,2021
5618,{'$oid': '61c8c8dee8e3b248c77b7212'},Amackide Primary School,4-086-1-017-01,92.0,627,71.45135566,2021
5699,{'$oid': '61c8c8dee8e3b248c77b72bc'},Olilim Trading Centre,4-086-1-013-01,76.97594502,469,71.21535181,2021
5873,{'$oid': '61c8c8dee8e3b248c77b7292'},Apur,4-086-1-003-01,83.79888268,254,71.25984252,2021
5924,{'$oid': '61c8c8dfe8e3b248c77b73f6'},Miciri,4-086-1-009-03,73.84615385,281,70.81850534,2021
5936,{'$oid': '61c8c8dee8e3b248c77b725b'},Acane P.7 School,4-086-1-004-01,84.25414365,520,71.34615385,2021
5978,{'$oid': '61c8c8dfe8e3b248c77b7380'},Okwongo P.7 School,4-086-1-005-01,84.07643312,448,70.98214286,2021
6156,{'$oid': '61c8c8dfe8e3b248c77b7504'},Barbenyo,4-086-1-013-02,86.50793651,566,70.49469965,2021
6353,{'$oid': '61c8c8dfe8e3b248c77b76c7'},Bar-Ilec (A-A),4-086-1-008-02,77.36720554,630,70.0,2021
6402,{'$oid': '61c8c8dfe8e3b248c77b7616'},Baralegi,4-086-1-009-01,89.02439024,124,70.16129032,2021
6405,{'$oid': '61c8c8dfe8e3b248c77b762a'},Atirayon Primary School (A-A),4-086-1-014-04,91.58415842,298,70.13422819,2021
6408,{'$oid': '61c8c8dfe8e3b248c77b7630'},Awee-Iwot Church,4-086-1-008-03,62.03703704,154,70.12987013,2021
6432,{'$oid': '61c8c8dfe8e3b248c77b76ec'},Adyerakonya P.7 School,4-086-1-002-04,72.94520548,436,69.95412844,2021
6559,{'$oid': '61c8c8dfe8e3b248c77b7525'},Atirayon Primary School (A-A),4-086-1-014-01,82.91139241,247,70.44534413,2021
6726,{'$oid': '61c8c8dfe8e3b248c77b7614'},Olec Community School,4-086-1-029-01,83.24324324,553,70.16274864,2021
6754,{'$oid': '61c8c8dfe8e3b248c77b76d3'},Oyuo,4-086-1-019-01,75.31486146,573,69.98254799,2021
6835,{'$oid': '61c8c8dfe8e3b248c77b77a2'},Atangwata P.7 School,4-086-1-022-02,72.94117647,271,69.74169742,2021
7286,{'$oid': '61c8c8e0e8e3b248c77b7b97'},Tegweng Primary School,4-086-1-012-02,76.38376384,413,68.76513317,2021
7318,{'$oid': '61c8c8e0e8e3b248c77b7a26'},Yabwangi,4-086-1-010-07,72.57142857,288,69.09722222,2021
7394,{'$oid': '61c8c8e0e8e3b248c77b783b'},Ager,4-086-1-009-06,74.44933921,355,69.57746479,2021
7489,{'$oid': '61c8c8e0e8e3b248c77b7947'},Aminawili,4-086-1-002-01,80.2238806,404,69.30693069,2021
7563,{'$oid': '61c8c8e0e8e3b248c77b7b06'},Atangwata P.7 School,4-086-1-022-03,82.45125348,540,68.88888889,2021
7581,{'$oid': '61c8c8e0e8e3b248c77b7819'},Olilim Health Center,4-086-1-013-03,82.55319149,362,69.61325967,2021
7882,{'$oid': '61c8c8e0e8e3b248c77b7982'},Aber,4-086-1-001-05,68.06722689,361,69.25207756,2021
7952,{'$oid': '61c8c8e0e8e3b248c77b7a58'},St. Adam Chapel,4-086-1-016-02,87.39130435,727,69.05089409,2021
7995,{'$oid': '61c8c8e0e8e3b248c77b7bb1'},Omuko,4-086-1-028-02,80.20304569,304,68.75,2021
8000,{'$oid': '61c8c8e1e8e3b248c77b7bcf'},Arwot Ngo C.O.U,4-086-1-009-04,79.25311203,390,68.71794872,2021
8036,{'$oid': '61c8c8e1e8e3b248c77b7d19'},Acan Pii Primary School,4-086-1-017-02,90.625,307,68.40390879,2021
8694,{'$oid': '61c8c8e1e8e3b248c77b7de7'},Anyalima Primary School,4-086-1-024-01,72.76995305,374,68.18181818,2021
8746,{'$oid': '61c8c8e1e8e3b248c77b7bd2'},Olao - Aluka (B-Z),4-086-1-020-02,75.7493188,553,68.71609403,2021
8814,{'$oid': '61c8c8e1e8e3b248c77b7bfc'},Olilim Health Centre,4-086-1-013-06,92.30769231,166,68.6746988,2021
9227,{'$oid': '61c8c8e2e8e3b248c77b80b8'},Atirayon Primary School (B-Z),4-086-1-014-03,88.7804878,345,67.53623188,2021
9292,{'$oid': '61c8c8e2e8e3b248c77b7fbe'},Ociro,4-086-1-024-05,82.71604938,394,67.76649746,2021
9298,{'$oid': '61c8c8e2e8e3b248c77b7fdd'},Baroceco,4-086-1-010-10,70.96774194,93,67.74193548,2021
9484,{'$oid': '61c8c8e2e8e3b248c77b813c'},Aleri Primary School,4-086-1-016-01,82.54847645,577,67.41767764,2021
9594,{'$oid': '61c8c8e2e8e3b248c77b8271'},Ogwete Primary School,4-086-1-015-04,87.43589744,597,67.16917923,2021
9649,{'$oid': '61c8c8e2e8e3b248c77b8247'},Malika Foundation Primary School,4-086-1-006-02,75.35885167,625,67.2,2021
9736,{'$oid': '61c8c8e2e8e3b248c77b838a'},Alangi P.7 School (A-A),4-086-1-018-01,77.52808989,608,66.94078947,2021
9786,{'$oid': '61c8c8e2e8e3b248c77b8303'},Oluro P.7 School (A-A),4-086-1-023-01,85.64814815,704,67.04545455,2021
9837,{'$oid': '61c8c8e2e8e3b248c77b82c0'},Abongorwot,4-086-1-021-01,83.00835655,544,67.09558824,2021
9932,{'$oid': '61c8c8e2e8e3b248c77b81cc'},Acan Pii Primary School,4-086-1-017-04,92.32613909,621,67.31078905,2021
10262,{'$oid': '61c8c8e2e8e3b248c77b840b'},Ajur Chapel,4-086-1-014-05,80.8,389,66.83804627,2021
10313,{'$oid': '61c8c8e2e8e3b248c77b839b'},Agoba,4-086-1-005-03,73.93939394,254,66.92913386,2021
10365,{'$oid': '61c8c8e2e8e3b248c77b8566'},Bar-Ocok,4-086-1-007-01,57.30337079,702,66.52421652,2021
10638,{'$oid': '61c8c8e2e8e3b248c77b8614'},Awee Ayela Society,4-086-1-003-05,69.23076923,702,66.38176638,2021
10703,{'$oid': '61c8c8e2e8e3b248c77b8624'},Jingcunyi Catholic Church,4-086-1-029-02,84.93150685,333,66.36636637,2021
