,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
1952,{'$oid': '61c8c8dbe8e3b248c77b62bd'},Muchomo Market Ground,1-105-1-018-01,68.70967742,380,85.52631579,2021
2720,{'$oid': '61c8c8dce8e3b248c77b683c'},Bizzo T/C,1-105-1-016-09,77.57847534,299,76.58862876,2021
2915,{'$oid': '61c8c8dce8e3b248c77b6778'},Mitimikalu Pri. Sch,1-105-1-032-04,37.85046729,281,77.22419929,2021
2994,{'$oid': '61c8c8dce8e3b248c77b6803'},Ssettaala Playground,1-105-1-033-02,29.18287938,336,76.78571429,2021
3110,{'$oid': '61c8c8dde8e3b248c77b6a16'},Lutovu Millenium Pri. Sch.,1-105-1-023-08,69.8630137,299,75.25083612,2021
3173,{'$oid': '61c8c8dde8e3b248c77b69d6'},Kamenyamigo Bright Pri. Sch.,1-105-1-030-05,20.70063694,423,75.41371158,2021
3664,{'$oid': '61c8c8dde8e3b248c77b697d'},Luwanga T/Centre,1-105-1-009-06,53.84615385,382,75.65445026,2021
3785,{'$oid': '61c8c8dde8e3b248c77b6b59'},St.Paul Kabungo Pri School,1-105-1-010-11,65.07936508,184,74.45652174,2021
3979,{'$oid': '61c8c8dde8e3b248c77b6bd0'},Namulanda Pri.Sch.,1-105-1-038-07,34.43113772,461,74.18655098,2021
3981,{'$oid': '61c8c8dde8e3b248c77b6be2'},Kaswa (A-M) - At Kaswa Parents Pri. Sch.,1-105-1-033-07,29.87012987,321,74.14330218,2021
4106,{'$oid': '61c8c8dee8e3b248c77b6d74'},Ssenya (A-M) -At Cath. Church,1-105-1-033-01,25.43859649,311,73.31189711,2021
4288,{'$oid': '61c8c8dee8e3b248c77b6d85'},Buziranduulu,1-105-1-038-02,41.89189189,101,73.26732673,2021
4506,{'$oid': '61c8c8dee8e3b248c77b6e43'},Kibinge Kito Kitewuliza,1-105-1-010-12,19.5,281,72.95373665,2021
4702,{'$oid': '61c8c8dee8e3b248c77b6e3a'},Kinoni C.O.U Chapel,1-105-1-039-13,27.16981132,370,72.97297297,2021
4800,{'$oid': '61c8c8dee8e3b248c77b6f4d'},Nyantungu Primary School,1-105-1-023-03,74.3083004,360,72.5,2021
4944,{'$oid': '61c8c8dee8e3b248c77b6e4d'},Kibuye Trading Centre,1-105-1-008-06,33.16708229,558,72.9390681,2021
5049,{'$oid': '61c8c8dee8e3b248c77b718a'},Kitwekyanjovu Abc Nursery School,1-105-1-017-10,71.95767196,268,71.64179104,2021
