,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
1062,{'$oid': '61c8c8dbe8e3b248c77b6216'},Kibingo T/C,2-114-1-024-12,88.39285714,127,88.18897638,2021
1641,{'$oid': '61c8c8dbe8e3b248c77b63d3'},Kisiita Catholic Church,2-114-1-028-02,83.73493976,211,82.46445498,2021
2001,{'$oid': '61c8c8dce8e3b248c77b6475'},Igayaza Health Centre,2-114-1-024-10,93.24324324,190,81.05263158,2021
2050,{'$oid': '61c8c8dce8e3b248c77b660b'},Kyakalegura P/S School (A-M),2-114-1-011-02,89.40397351,202,78.71287129,2021
2160,{'$oid': '61c8c8dce8e3b248c77b659a'},Nyamirama Pri. Sch.,2-114-1-027-07,87.53894081,411,79.31873479,2021
2170,{'$oid': '61c8c8dce8e3b248c77b65cc'},Mulinga T/Centre,2-114-1-030-04,92.65175719,401,79.05236908,2021
2244,{'$oid': '61c8c8dce8e3b248c77b67a2'},Kasozi Catholic Church,2-114-1-019-13,84.49612403,345,77.10144928,2021
2272,{'$oid': '61c8c8dce8e3b248c77b66df'},Kisiita Market,2-114-1-028-14,84.41558442,433,77.82909931,2021
2312,{'$oid': '61c8c8dce8e3b248c77b682f'},Katikara Market,2-114-1-030-03,91.43835616,385,76.62337662,2021
2388,{'$oid': '61c8c8dce8e3b248c77b64e3'},Buhonda Store(B),2-114-1-027-04,81.8627451,260,80.38461538,2021
2401,{'$oid': '61c8c8dce8e3b248c77b652d'},Kantu Church Of Uganda,2-114-1-034-08,88.58024691,410,80.0,2021
2425,{'$oid': '61c8c8dce8e3b248c77b6638'},Nyakafunjo,2-114-1-008-18,90.98712446,298,78.52348993,2021
2542,{'$oid': '61c8c8dce8e3b248c77b658f'},Businge Kitawuluzi,2-114-1-008-09,87.43961353,301,79.40199336,2021
2599,{'$oid': '61c8c8dce8e3b248c77b67d0'},Katikara Faith Of Unity.,2-114-1-030-15,83.44827586,191,76.96335079,2021
2648,{'$oid': '61c8c8dce8e3b248c77b670e'},Kiboijana Comm. Health Centre,2-114-1-023-04,83.78378378,152,77.63157895,2021
2814,{'$oid': '61c8c8dce8e3b248c77b64c7'},Nyamirama T/C,2-114-1-027-08,86.95652174,345,80.57971014,2021
2832,{'$oid': '61c8c8dce8e3b248c77b6552'},Busanga Primary School,2-114-1-030-02,92.19858156,366,79.78142077,2021
2993,{'$oid': '61c8c8dce8e3b248c77b67fe'},Ibambara Trading Centre,2-114-1-016-01,81.85654008,319,76.80250784,2021
2995,{'$oid': '61c8c8dce8e3b248c77b680f'},Kitabona T/C,2-114-1-030-06,91.61676647,443,76.74943567,2021
3004,{'$oid': '61c8c8dde8e3b248c77b6855'},Kyamujanju Trading Centre,2-114-1-017-03,65.85365854,166,76.5060241,2021
3071,{'$oid': '61c8c8dde8e3b248c77b6907'},Kigomba P/School (N-Z),2-114-1-012-05,90.0,258,75.96899225,2021
3085,{'$oid': '61c8c8dde8e3b248c77b695c'},Mweruka Catholic Church,2-114-1-032-04,71.00591716,239,75.73221757,2021
3158,{'$oid': '61c8c8dde8e3b248c77b6966'},Bujaaja T/C (L-Z),2-114-1-037-04,91.66666667,667,75.71214393,2021
3181,{'$oid': '61c8c8dde8e3b248c77b6a24'},Kitegura P/School (A-M),2-114-1-032-01,74.68671679,553,75.22603978,2021
3249,{'$oid': '61c8c8dde8e3b248c77b69e9'},Kisojo Catholic Church,2-114-1-001-05,76.2295082,341,75.36656891,2021
3271,{'$oid': '61c8c8dde8e3b248c77b6abd'},St. Mary'S Catholic Church-Sayuni,2-114-1-014-09,92.23300971,151,74.83443709,2021
3312,{'$oid': '61c8c8dde8e3b248c77b6c0b'},Kyerima Pri. Sch,2-114-1-007-09,85.71428571,339,74.04129794,2021
