,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
548,{'$oid': '61c8c8dae8e3b248c77b6004'},Osanyuk C.O.U.,3-079-1-042-04,77.67584098,340,97.94117647,2021
777,{'$oid': '61c8c8dae8e3b248c77b5f81'},Airogo  Komolo,3-079-1-055-03,78.20512821,162,98.7654321,2021
794,{'$oid': '61c8c8dae8e3b248c77b5fe5'},Atiriri,3-079-1-002-03,83.79685611,843,98.10201661,2021
1088,{'$oid': '61c8c8dbe8e3b248c77b6103'},Olotoi Centre,3-079-1-013-03,48.35164835,314,94.58598726,2021
1227,{'$oid': '61c8c8dbe8e3b248c77b6137'},Amus,3-079-1-070-01,55.85585586,536,93.47014925,2021
1378,{'$oid': '61c8c8dbe8e3b248c77b621f'},Kocheka Railway Crossing,3-079-1-010-02,90.96989967,341,87.97653959,2021
1411,{'$oid': '61c8c8dbe8e3b248c77b617a'},Bukedea Life Line S.S,3-079-1-048-01,73.05863708,692,91.76300578,2021
1669,{'$oid': '61c8c8dbe8e3b248c77b6436'},Kateki Trading Centre,3-079-1-010-05,88.88888889,250,81.6,2021
1752,{'$oid': '61c8c8dbe8e3b248c77b644c'},Kakerei,3-079-1-069-03,81.93548387,403,81.38957816,2021
1786,{'$oid': '61c8c8dbe8e3b248c77b6323'},Morukateko Mango Tree,3-079-1-071-03,63.4751773,343,84.25655977,2021
1889,{'$oid': '61c8c8dbe8e3b248c77b62e2'},Olasai Ododo,3-079-1-055-06,68.38487973,367,85.01362398,2021
2424,{'$oid': '61c8c8dce8e3b248c77b6630'},St Stephen Catholic Church,3-079-1-064-05,57.09570957,401,78.55361596,2021
2686,{'$oid': '61c8c8dce8e3b248c77b6780'},Kapuyan Pag Church,3-079-1-066-01,70.54794521,193,77.20207254,2021
2726,{'$oid': '61c8c8dce8e3b248c77b6801'},Kongunga Township Church,3-079-1-055-04,68.6695279,306,76.79738562,2021
3089,{'$oid': '61c8c8dde8e3b248c77b697c'},Okum Pri Sch,3-079-1-025-02,71.42857143,456,75.65789474,2021
3329,{'$oid': '61c8c8dde8e3b248c77b6a75'},Kongatuny,3-079-1-063-01,64.08045977,492,75.0,2021
3378,{'$oid': '61c8c8dde8e3b248c77b6aa1'},Tokor,3-079-1-032-02,58.38509317,231,74.89177489,2021
3619,{'$oid': '61c8c8dde8e3b248c77b69f3'},Kachinga,3-079-1-064-01,50.33860045,661,75.34039334,2021
3672,{'$oid': '61c8c8dde8e3b248c77b69c0'},Komuge,3-079-1-054-01,53.92156863,416,75.48076923,2021
3907,{'$oid': '61c8c8dde8e3b248c77b6b4b'},Kolir,3-079-1-022-01,76.63551402,729,74.48559671,2021
4052,{'$oid': '61c8c8dee8e3b248c77b6dc6'},Aligoi A(A-E),3-079-1-069-01,71.61290323,436,73.16513761,2021
4378,{'$oid': '61c8c8dee8e3b248c77b6c5d'},Kodiata,3-079-1-030-01,81.46214099,536,73.88059701,2021
4788,{'$oid': '61c8c8dee8e3b248c77b6ee9'},Omidil,3-079-1-022-07,79.6875,190,72.63157895,2021
4854,{'$oid': '61c8c8dee8e3b248c77b6f32'},Kachaboi,3-079-1-068-01,68.44262295,346,72.5433526,2021
5192,{'$oid': '61c8c8dee8e3b248c77b7053'},Komolo,3-079-1-057-02,62.64367816,763,72.08387942,2021
5363,{'$oid': '61c8c8dee8e3b248c77b706f'},Aligoi Church Of Uganda Amee,3-079-1-069-05,47.79116466,415,72.04819277,2021
5477,{'$oid': '61c8c8dee8e3b248c77b71a1'},Kagoloto,3-079-1-022-02,72.35294118,243,71.60493827,2021
6250,{'$oid': '61c8c8dfe8e3b248c77b7579'},Kopeta,3-079-1-022-06,78.18181818,253,70.35573123,2021
6385,{'$oid': '61c8c8dfe8e3b248c77b77cf'},Sapir,3-079-1-070-02,44.91017964,749,69.6929239,2021
6545,{'$oid': '61c8c8dfe8e3b248c77b74bb'},Bududa,3-079-1-064-03,60.44568245,544,70.58823529,2021
6744,{'$oid': '61c8c8dfe8e3b248c77b7681'},Kapaang Primary School,3-079-1-058-01,64.49579832,708,70.05649718,2021
6808,{'$oid': '61c8c8dfe8e3b248c77b76d8'},Kachumbala Primary School,3-079-1-071-01,46.20462046,453,69.97792494,2021
7181,{'$oid': '61c8c8e0e8e3b248c77b79ab'},Kachuru Primary School,3-079-1-057-05,61.14649682,510,69.21568627,2021
7246,{'$oid': '61c8c8e0e8e3b248c77b7a95'},Aligoi B(F-Z),3-079-1-069-02,55.45243619,674,68.99109792,2021
7266,{'$oid': '61c8c8e0e8e3b248c77b7aec'},Akero,3-079-1-003-02,72.8531856,550,68.90909091,2021
7980,{'$oid': '61c8c8e0e8e3b248c77b7b21'},Kaleu Primary School,3-079-1-042-03,54.59940653,501,68.86227545,2021
8024,{'$oid': '61c8c8e1e8e3b248c77b7c98'},Sapir Primary School,3-079-1-070-03,65.6424581,534,68.53932584,2021
8220,{'$oid': '61c8c8e1e8e3b248c77b7e97'},Okichira,3-079-1-001-02,73.33333333,544,68.01470588,2021
8546,{'$oid': '61c8c8e1e8e3b248c77b7d21'},St. Peters Pri. Sch,3-079-1-054-03,59.56284153,560,68.39285714,2021
8663,{'$oid': '61c8c8e1e8e3b248c77b7d30'},St. John C.O.U,3-079-1-021-06,63.58024691,506,68.37944664,2021
9174,{'$oid': '61c8c8e2e8e3b248c77b8183'},Mukongoro,3-079-1-064-02,71.05263158,570,67.36842105,2021
