,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
28,{'$oid': '61c8c8dae8e3b248c77b5d65'},Sanga Playground (A-L),2-065-1-029-01,99.85714286,702,100.0,2021
29,{'$oid': '61c8c8dae8e3b248c77b5d67'},Nkongoro Trading Centre,2-065-1-031-01,100.0,414,100.0,2021
30,{'$oid': '61c8c8dae8e3b248c77b5d72'},Kikatsi Pri Sch,2-065-1-011-01,100.0,446,100.0,2021
31,{'$oid': '61c8c8dae8e3b248c77b5d74'},Bunonko Pri Sch,2-065-1-011-03,100.0,541,100.0,2021
32,{'$oid': '61c8c8dae8e3b248c77b5d85'},Rushoga Pri Sch,2-065-1-019-03,98.46153846,391,100.0,2021
33,{'$oid': '61c8c8dae8e3b248c77b5d8a'},Rwempogo Trading Centre,2-065-1-021-01,100.0,332,100.0,2021
34,{'$oid': '61c8c8dae8e3b248c77b5d8d'},Rurambira Pri Sch,2-065-1-022-01,100.0,580,100.0,2021
35,{'$oid': '61c8c8dae8e3b248c77b5d8e'},Kakyera Trading Centre,2-065-1-022-02,100.0,212,100.0,2021
51,{'$oid': '61c8c8dae8e3b248c77b5dfd'},Rugaga Kyenshama Junction B,2-065-1-013-08,100.0,602,100.0,2021
54,{'$oid': '61c8c8dae8e3b248c77b5e26'},Akareere Trading Centre,2-065-1-043-01,92.59259259,786,99.87277354,2021
57,{'$oid': '61c8c8dae8e3b248c77b5e42'},Karukoko Lc I Hqtrs,2-065-1-013-02,100.0,548,99.81751825,2021
61,{'$oid': '61c8c8dae8e3b248c77b5e5d'},Kabuyanda Ii C.O.U,2-065-1-015-06,100.0,398,99.74874372,2021
89,{'$oid': '61c8c8dae8e3b248c77b5d68'},Rwebishuri Trading Centre,2-065-1-031-02,100.0,308,100.0,2021
90,{'$oid': '61c8c8dae8e3b248c77b5d6c'},Rwakobo Church Sch,2-065-1-003-03,100.0,408,100.0,2021
91,{'$oid': '61c8c8dae8e3b248c77b5d6e'},Sub County Community Hall,2-065-1-006-04,99.12663755,458,100.0,2021
92,{'$oid': '61c8c8dae8e3b248c77b5d76'},Keikoti Pri Sch,2-065-1-012-01,100.0,308,100.0,2021
93,{'$oid': '61c8c8dae8e3b248c77b5d79'},Kayonza Parish Hqtrs,2-065-1-013-05,100.0,126,100.0,2021
94,{'$oid': '61c8c8dae8e3b248c77b5d7d'},Kabuyanda Catholic Church Sch,2-065-1-015-04,100.0,528,100.0,2021
95,{'$oid': '61c8c8dae8e3b248c77b5d86'},Bijubwe Catholic Sch,2-065-1-019-04,96.48241206,199,100.0,2021
96,{'$oid': '61c8c8dae8e3b248c77b5d90'},Rwakobo C.O.U,2-065-1-023-02,100.0,577,100.0,2021
97,{'$oid': '61c8c8dae8e3b248c77b5d93'},Byanamira Pri Sch,2-065-1-033-03,97.20101781,788,100.0,2021
98,{'$oid': '61c8c8dae8e3b248c77b5d95'},Rwenyangwe Pri Sch,2-065-1-035-01,99.85652798,697,100.0,2021
129,{'$oid': '61c8c8dae8e3b248c77b5e76'},Kabushwere Full Gospel Church,2-065-1-036-05,95.09803922,616,99.67532468,2021
154,{'$oid': '61c8c8dae8e3b248c77b5d6f'},Kyabagyenyi Catholic Pri Sch,2-065-1-007-02,100.0,200,100.0,2021
