,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
1105,{'$oid': '61c8c8dbe8e3b248c77b617e'},Katoma Mosque,2-084-1-014-02,92.59259259,602,91.69435216,2021
1816,{'$oid': '61c8c8dbe8e3b248c77b6416'},Mukonda C.O.U,2-084-1-001-03,81.15449915,745,81.87919463,2021
2104,{'$oid': '61c8c8dce8e3b248c77b659d'},Nyamugura T/C (A-L),2-084-1-004-03,72.97297297,343,79.30029155,2021
2719,{'$oid': '61c8c8dce8e3b248c77b67dc'},Ruteerwa,2-084-1-037-01,98.93899204,494,76.92307692,2021
2789,{'$oid': '61c8c8dce8e3b248c77b65eb'},Rulinju C.O.U,2-084-1-002-04,59.48905109,374,78.87700535,2021
3043,{'$oid': '61c8c8dde8e3b248c77b695d'},Kajumbura (L-Z),2-084-1-035-05,97.57869249,548,75.72992701,2021
3175,{'$oid': '61c8c8dde8e3b248c77b69f7'},Karumaima T/C,2-084-1-002-05,82.04488778,604,75.33112583,2021
3213,{'$oid': '61c8c8dde8e3b248c77b68ca'},Karumaima T. C.,2-084-1-002-02,78.66666667,411,76.15571776,2021
3226,{'$oid': '61c8c8dde8e3b248c77b6965'},Magoma P/School (M-Z),2-084-1-022-04,91.45728643,280,75.71428571,2021
3274,{'$oid': '61c8c8dde8e3b248c77b6ada'},Muhangi C.O.U,2-084-1-024-03,78.85462555,313,74.76038339,2021
3387,{'$oid': '61c8c8dde8e3b248c77b6acd'},Munsambya Catholic Church,2-084-1-006-01,83.95415473,476,74.78991597,2021
3722,{'$oid': '61c8c8dde8e3b248c77b6992'},Rwembogo C.O.U,2-084-1-035-04,99.18032787,332,75.60240964,2021
4085,{'$oid': '61c8c8dee8e3b248c77b6cd3'},Kajumbura (A-K),2-084-1-035-02,97.39336493,584,73.63013699,2021
4251,{'$oid': '61c8c8dee8e3b248c77b6c7f'},Hapuyo Scty Hqrs (A-L),2-084-1-003-02,87.73234201,382,73.82198953,2021
4259,{'$oid': '61c8c8dee8e3b248c77b6ca1'},Nyarukoni Catholic Church,2-084-1-004-01,92.81767956,259,73.74517375,2021
4398,{'$oid': '61c8c8dee8e3b248c77b6cce'},Isunga T. C. Playground (N - Z),2-084-1-005-06,75.06849315,550,73.63636364,2021
4941,{'$oid': '61c8c8dee8e3b248c77b6e38'},Besania C.O.U,2-084-1-002-06,91.04477612,285,72.98245614,2021
4954,{'$oid': '61c8c8dee8e3b248c77b6ea5'},Kidindimya P/School (M-Z),2-084-1-012-03,82.9787234,268,72.76119403,2021
5017,{'$oid': '61c8c8dee8e3b248c77b70c2'},Kahungera Trading Centre,2-084-1-002-01,83.72093023,506,71.93675889,2021
5048,{'$oid': '61c8c8dee8e3b248c77b7189'},Kyaiguma Catholic Church,2-084-1-004-04,90.58441558,462,71.64502165,2021
5209,{'$oid': '61c8c8dee8e3b248c77b70ab'},Nyamugura T/C (M-Z),2-084-1-004-05,83.08270677,742,71.96765499,2021
5258,{'$oid': '61c8c8dee8e3b248c77b705a'},Ihunga Sda Church (L-Z),2-084-1-006-05,93.05993691,444,72.07207207,2021
5272,{'$oid': '61c8c8dee8e3b248c77b7108'},Migamba (A-L),2-084-1-040-01,87.96561605,504,71.82539683,2021
5388,{'$oid': '61c8c8dee8e3b248c77b70f4'},Nkakwa P/School (A - L),2-084-1-005-10,83.40611354,334,71.85628743,2021
5394,{'$oid': '61c8c8dee8e3b248c77b710c'},Ntuntu P/S (M-Z),2-084-1-022-03,94.17177914,472,71.8220339,2021
5543,{'$oid': '61c8c8dfe8e3b248c77b73c1'},Kasule S/C Hqrs,2-084-1-016-01,64.0,512,70.8984375,2021
5922,{'$oid': '61c8c8dfe8e3b248c77b73dd'},Mbaara,2-084-1-002-07,84.67023173,820,70.85365854,2021
5999,{'$oid': '61c8c8dfe8e3b248c77b73f9'},Kidindimya P/School (A-L),2-084-1-012-02,80.0,209,70.81339713,2021
6096,{'$oid': '61c8c8dfe8e3b248c77b74c0'},Mpaara Primary School,2-084-1-030-07,93.61702128,204,70.58823529,2021
6450,{'$oid': '61c8c8dfe8e3b248c77b7793'},Rucwamigo Community School,2-084-1-001-02,69.23076923,430,69.76744186,2021
6484,{'$oid': '61c8c8dfe8e3b248c77b76f7'},Mwaro Primary School,2-084-1-004-02,84.74576271,529,69.94328922,2021
6513,{'$oid': '61c8c8dfe8e3b248c77b77bf'},Kitongo Itambiro,2-084-1-023-03,84.74576271,439,69.70387244,2021
6517,{'$oid': '61c8c8dfe8e3b248c77b77cd'},Kibuba Parish Hqtrs (M-Z),2-084-1-012-05,69.92481203,396,69.6969697,2021
6591,{'$oid': '61c8c8dfe8e3b248c77b7413'},Kikerekete C.O.U,2-084-1-004-06,90.32258065,356,70.78651685,2021
6608,{'$oid': '61c8c8dfe8e3b248c77b7482'},Kamaisane C.O.U,2-084-1-016-02,79.00874636,501,70.65868263,2021
6615,{'$oid': '61c8c8dfe8e3b248c77b74d7'},Kihamba Catholic Church (M-Z),2-084-1-026-03,79.06137184,404,70.54455446,2021
6661,{'$oid': '61c8c8dfe8e3b248c77b749b'},Karama Parish Hqrs,2-084-1-015-01,74.55621302,521,70.63339731,2021
6770,{'$oid': '61c8c8dfe8e3b248c77b7764'},Iringa Parish Hqrs,2-084-1-001-01,67.34104046,580,69.82758621,2021
6859,{'$oid': '61c8c8dfe8e3b248c77b7706'},Kihamba Catholic Church (A-L),2-084-1-026-01,82.6446281,542,69.92619926,2021
7014,{'$oid': '61c8c8e0e8e3b248c77b784a'},Kijuma Catholic Chur.,2-084-1-002-03,76.0,299,69.56521739,2021
7169,{'$oid': '61c8c8e0e8e3b248c77b7981'},Nkakwa P/School (M - Z),2-084-1-005-11,89.42731278,348,69.25287356,2021
7408,{'$oid': '61c8c8e0e8e3b248c77b7898'},Kikonge Community School Playground,2-084-1-012-04,83.81742739,708,69.49152542,2021
7723,{'$oid': '61c8c8e0e8e3b248c77b7a22'},Kasule S/C Hqrs (M-Z),2-084-1-016-03,65.80882353,411,69.09975669,2021
7802,{'$oid': '61c8c8e0e8e3b248c77b78ed'},Kibuba Parish Hqtrs,2-084-1-012-01,69.45454545,415,69.39759036,2021
7971,{'$oid': '61c8c8e0e8e3b248c77b7af0'},Nkakwa P/School (M - Z),2-084-1-005-07,80.95238095,566,68.90459364,2021
8287,{'$oid': '61c8c8e1e8e3b248c77b7cfe'},Kihaguzi Itambiro (A-K),2-084-1-006-02,89.36170213,643,68.42923795,2021
8361,{'$oid': '61c8c8e1e8e3b248c77b7f88'},Karama Parish Hqrs (M-Z),2-084-1-015-03,78.84615385,572,67.83216783,2021
8385,{'$oid': '61c8c8e1e8e3b248c77b7e6b'},Kinyinya Pentecostal Church,2-084-1-010-02,90.54441261,523,68.06883365,2021
8496,{'$oid': '61c8c8e1e8e3b248c77b7da4'},Nyakaho Sda Church,2-084-1-022-05,93.98734177,485,68.24742268,2021
8505,{'$oid': '61c8c8e1e8e3b248c77b7c24'},Kacumbi Itambiro,2-084-1-017-01,88.0794702,456,68.64035088,2021
8562,{'$oid': '61c8c8e1e8e3b248c77b7e04'},Kijaguzo Itambiro,2-084-1-009-03,89.58333333,713,68.16269285,2021
8580,{'$oid': '61c8c8e1e8e3b248c77b7ecc'},Mugega Community School,2-084-1-015-02,83.55140187,893,67.9731243,2021
8940,{'$oid': '61c8c8e1e8e3b248c77b7dd6'},Kyaisaza P/S (L-Z),2-084-1-009-07,87.5,651,68.20276498,2021
9103,{'$oid': '61c8c8e2e8e3b248c77b8101'},Musanju T/C,2-084-1-030-08,87.62541806,452,67.47787611,2021
9106,{'$oid': '61c8c8e2e8e3b248c77b8121'},Kasenene P/School (A-K),2-084-1-008-01,85.05747126,685,67.44525547,2021
9408,{'$oid': '61c8c8e2e8e3b248c77b8094'},Ngangi Primary School,2-084-1-041-13,82.41758242,404,67.57425743,2021
9578,{'$oid': '61c8c8e2e8e3b248c77b8216'},Ruchwamigo Community School,2-084-1-001-04,75.44204322,800,67.25,2021
9630,{'$oid': '61c8c8e2e8e3b248c77b81a8'},Magoma Itambiro,2-084-1-022-06,86.01823708,496,67.33870968,2021
9910,{'$oid': '61c8c8e2e8e3b248c77b82f3'},Magoma P/School (A-L),2-084-1-022-02,92.27941176,425,67.05882353,2021
10009,{'$oid': '61c8c8e2e8e3b248c77b83f1'},Rwenyange P/School (A - L),2-084-1-005-02,80.20304569,344,66.86046512,2021
10167,{'$oid': '61c8c8e2e8e3b248c77b8525'},Isunga T. C. Playground (A - M),2-084-1-005-03,78.66108787,380,66.57894737,2021
10272,{'$oid': '61c8c8e2e8e3b248c77b843e'},Buterevu T/C,2-084-1-005-01,80.625,512,66.796875,2021
