,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
161,{'$oid': '61c8c8dae8e3b248c77b5dbc'},Rutongole Elim Pentecostal,1-017-1-013-05,100.0,234,100.0,2021
686,{'$oid': '61c8c8dae8e3b248c77b6052'},Nakakabala T/C,1-017-1-024-01,91.68975069,373,97.31903485,2021
922,{'$oid': '61c8c8dae8e3b248c77b5fe7'},Kabuye T/C,1-017-1-013-01,98.91304348,472,98.09322034,2021
1035,{'$oid': '61c8c8dbe8e3b248c77b616b'},Kyamukweya C.O.U.,1-017-1-013-02,98.85057471,189,92.06349206,2021
1165,{'$oid': '61c8c8dbe8e3b248c77b61a1'},Kamugabo T/C,1-017-1-008-02,100.0,362,90.8839779,2021
1242,{'$oid': '61c8c8dbe8e3b248c77b6194'},Kandegeya Pentecostal Church,1-017-1-007-03,94.44444444,340,91.17647059,2021
1281,{'$oid': '61c8c8dbe8e3b248c77b60f4'},Nkrumah Waigodo Pri. Sch.,1-017-1-024-05,97.26775956,199,94.97487437,2021
1715,{'$oid': '61c8c8dbe8e3b248c77b6385'},Kindeke Playground,1-017-1-013-03,99.12280702,137,83.21167883,2021
1765,{'$oid': '61c8c8dbe8e3b248c77b62ad'},Kachwangozi H/C,1-017-1-012-03,98.57819905,253,85.77075099,2021
2110,{'$oid': '61c8c8dce8e3b248c77b65ef'},Kalusungwa C.O.U,1-017-1-015-03,73.14285714,227,78.85462555,2021
2780,{'$oid': '61c8c8dce8e3b248c77b65aa'},Kalungu Pri. Sch.,1-017-1-008-01,96.54654655,852,79.22535211,2021
3429,{'$oid': '61c8c8dde8e3b248c77b6bf3'},Nsumba Pentecostal Church,1-017-1-036-07,81.49882904,606,74.09240924,2021
4157,{'$oid': '61c8c8dee8e3b248c77b6d75'},Zanyiro T.C,1-017-1-018-05,55.34883721,296,73.31081081,2021
4187,{'$oid': '61c8c8dee8e3b248c77b6c8b'},Kyampisi,1-017-1-036-06,56.17283951,229,73.79912664,2021
4205,{'$oid': '61c8c8dee8e3b248c77b6d11'},Kakibwa Grounds,1-017-1-036-05,43.40175953,521,73.51247601,2021
4410,{'$oid': '61c8c8dee8e3b248c77b6d2f'},Sogolero Primary School,1-017-1-004-04,40.86538462,294,73.46938776,2021
4669,{'$oid': '61c8c8dee8e3b248c77b6f36'},Bwezigoolo  P. School,1-017-1-017-03,33.06010929,528,72.53787879,2021
4816,{'$oid': '61c8c8dee8e3b248c77b6fe9'},Nakasozi T/C,1-017-1-032-02,48.45360825,155,72.25806452,2021
4950,{'$oid': '61c8c8dee8e3b248c77b6e90'},Kyekumbya P. School,1-017-1-017-01,38.18181818,239,72.80334728,2021
5174,{'$oid': '61c8c8dee8e3b248c77b719e'},Lwengo Grace Ministry Church,1-017-1-024-04,91.30434783,236,71.61016949,2021
5589,{'$oid': '61c8c8dfe8e3b248c77b7310'},Bujenje Playground,1-017-1-035-03,58.2781457,218,71.10091743,2021
5663,{'$oid': '61c8c8dfe8e3b248c77b738d'},Bukobobo P. School,1-017-1-029-04,50.51546392,279,70.96774194,2021
5736,{'$oid': '61c8c8dfe8e3b248c77b73f8'},Nabwendo C.O.U Pri. Sch [n-Z],1-017-1-033-05,73.14285714,257,70.81712062,2021
5788,{'$oid': '61c8c8dfe8e3b248c77b73d9'},Gogonya Pri. Sch,1-017-1-016-03,45.41577825,748,70.85561497,2021
5833,{'$oid': '61c8c8dfe8e3b248c77b7338'},Nakasengere C.O.U,1-017-1-036-03,90.27027027,266,71.05263158,2021
5862,{'$oid': '61c8c8dee8e3b248c77b7238'},Nyamiringa Pri.Sch.,1-017-1-012-04,96.25,808,71.41089109,2021
6106,{'$oid': '61c8c8dfe8e3b248c77b74f3'},Smith Foundation Nursery And Pri. Sch.,1-017-1-035-06,65.71428571,156,70.51282051,2021
6157,{'$oid': '61c8c8dfe8e3b248c77b7509'},Bunanula Cu,1-017-1-025-05,73.17073171,183,70.49180328,2021
6272,{'$oid': '61c8c8dfe8e3b248c77b7673'},Ndiraweru P/S,1-017-1-033-03,46.88715953,812,70.07389163,2021
6634,{'$oid': '61c8c8dfe8e3b248c77b756f'},Lwantenga Church,1-017-1-009-04,96.84210526,550,70.36363636,2021
6648,{'$oid': '61c8c8dfe8e3b248c77b75f7'},Nambi Playground,1-017-1-004-02,52.70935961,302,70.1986755,2021
7158,{'$oid': '61c8c8e0e8e3b248c77b797a'},Kijoojolo Pri. School,1-017-1-039-01,34.46327684,527,69.25996205,2021
7198,{'$oid': '61c8c8e0e8e3b248c77b79ed'},Kiseeza Playground,1-017-1-018-02,45.52845528,201,69.15422886,2021
7214,{'$oid': '61c8c8e0e8e3b248c77b7a5c'},Mpalimanya Kitawuluzi,1-017-1-030-02,34.84848485,294,69.04761905,2021
7234,{'$oid': '61c8c8e0e8e3b248c77b7ab3'},Kyamukweya C.O.U,1-017-1-013-06,92.06008584,699,68.95565093,2021
8135,{'$oid': '61c8c8e1e8e3b248c77b7c14'},Rise And Shine Nakaziba P. Sch.,1-017-1-037-01,54.37788018,319,68.65203762,2021
8370,{'$oid': '61c8c8e1e8e3b248c77b7df3'},Bwezigoolo P. School,1-017-1-017-05,36.95652174,487,68.1724846,2021
8375,{'$oid': '61c8c8e1e8e3b248c77b7e1b'},Kabanga P. School,1-017-1-025-06,68.65671642,204,68.1372549,2021
8705,{'$oid': '61c8c8e1e8e3b248c77b7e35'},Kattanzige Pri. Sch.,1-017-1-028-05,31.43812709,461,68.11279826,2021
9110,{'$oid': '61c8c8e2e8e3b248c77b8157'},Kyanamuyonjo Pri. Sch.,1-017-1-001-04,40.39735099,227,67.40088106,2021
9137,{'$oid': '61c8c8e2e8e3b248c77b8055'},Kamirampango Pri. Sch.,1-017-1-019-01,68.89632107,482,67.63485477,2021
9420,{'$oid': '61c8c8e2e8e3b248c77b80eb'},Nakasagazi Trumpet Church,1-017-1-015-02,65.63573883,443,67.49435666,2021
9441,{'$oid': '61c8c8e2e8e3b248c77b8188'},Gogonya Pri. Sch,1-017-1-016-02,35.79545455,288,67.36111111,2021
9830,{'$oid': '61c8c8e2e8e3b248c77b829b'},Kyanamuyonjo Pri. Sch.,1-017-1-001-02,46.36871508,289,67.12802768,2021
9832,{'$oid': '61c8c8e2e8e3b248c77b82a3'},Nakasozi Public Pri. Sch.,1-017-1-032-01,29.36507937,590,67.11864407,2021
10047,{'$oid': '61c8c8e2e8e3b248c77b853f'},Katuugo Coffee Factory,1-017-1-020-03,26.31578947,302,66.55629139,2021
10073,{'$oid': '61c8c8e2e8e3b248c77b8414'},Kigoma P/S,1-017-1-035-02,76.47058824,416,66.82692308,2021
10593,{'$oid': '61c8c8e2e8e3b248c77b86b4'},Sogolero Primary School,1-017-1-004-03,74.49392713,797,66.24843162,2021
10688,{'$oid': '61c8c8e2e8e3b248c77b85ae'},Kabaale Pri.Sch.,1-017-1-017-04,27.97202797,680,66.47058824,2021
10867,{'$oid': '61c8c8e2e8e3b248c77b85cb'},Nabwendo R/C P.S Ii,1-017-1-033-02,34.93150685,450,66.44444444,2021
11005,{'$oid': '61c8c8e3e8e3b248c77b87ba'},Kajjere C.O.U.,1-017-1-014-02,38.76404494,274,66.05839416,2021
11043,{'$oid': '61c8c8e3e8e3b248c77b88cc'},Matagi Islamic P. Sch.,1-017-1-005-03,34.17721519,243,65.8436214,2021
11309,{'$oid': '61c8c8e3e8e3b248c77b8b1c'},Nakayaga Mosque,1-017-1-015-04,75.49668874,260,65.38461538,2021
11391,{'$oid': '61c8c8e3e8e3b248c77b87cf'},Kyakasozi Sda Church,1-017-1-025-03,62.20930233,536,66.04477612,2021
11791,{'$oid': '61c8c8e3e8e3b248c77b88a6'},Kagogo C.O.U Pri. Sch.,1-017-1-001-01,56.84647303,381,65.87926509,2021
11805,{'$oid': '61c8c8e3e8e3b248c77b8909'},Masiriba Primary School,1-017-1-002-04,44.69026549,348,65.8045977,2021
11956,{'$oid': '61c8c8e3e8e3b248c77b8a00'},Ssinde Primary School,1-017-1-030-01,29.61956522,573,65.61954625,2021
11995,{'$oid': '61c8c8e3e8e3b248c77b8b54'},Bulaga P. School,1-017-1-029-02,61.24661247,580,65.34482759,2021
12130,{'$oid': '61c8c8e4e8e3b248c77b8b78'},Wabinyira T/C,1-017-1-035-04,51.35135135,297,65.31986532,2021
12534,{'$oid': '61c8c8e4e8e3b248c77b8e7f'},Kibooba St. Joseph P. School,1-017-1-014-05,42.75862069,470,64.68085106,2021
12538,{'$oid': '61c8c8e4e8e3b248c77b8e93'},Nsala P. School,1-017-1-029-03,74.86338798,283,64.66431095,2021
12699,{'$oid': '61c8c8e4e8e3b248c77b8de1'},Bamusuuta P/School [a-M],1-017-1-021-02,29.38596491,375,64.8,2021
12827,{'$oid': '61c8c8e4e8e3b248c77b8ddb'},Masiriba Pri. Sch.,1-017-1-002-02,61.11111111,537,64.80446927,2021
12853,{'$oid': '61c8c8e4e8e3b248c77b8e74'},Nabwendo C.O.U Pri. Sch [a-M],1-017-1-033-01,48.38709677,354,64.68926554,2021
12977,{'$oid': '61c8c8e4e8e3b248c77b8eb7'},Kizinga Playground,1-017-1-017-02,30.8411215,673,64.6359584,2021
13006,{'$oid': '61c8c8e4e8e3b248c77b8f8c'},Lufula [a-M]- At St. Andrew,1-017-1-021-03,21.91780822,456,64.47368421,2021
13070,{'$oid': '61c8c8e4e8e3b248c77b8f7a'},Kiribedda P. School,1-017-1-029-01,50.20746888,383,64.49086162,2021
13092,{'$oid': '61c8c8e4e8e3b248c77b908b'},Kibulala Playground,1-017-1-034-02,80.7486631,294,64.28571429,2021
13266,{'$oid': '61c8c8e4e8e3b248c77b8faf'},Kanziira Pri. Sch.,1-017-1-001-03,58.43621399,391,64.45012788,2021
13419,{'$oid': '61c8c8e4e8e3b248c77b90fd'},Muteesa Ii Pri. Sch.,1-017-1-005-02,46.27831715,528,64.20454545,2021
13676,{'$oid': '61c8c8e4e8e3b248c77b9300'},Kokoowe R.C.C,1-017-1-026-02,33.91304348,376,63.82978723,2021
13758,{'$oid': '61c8c8e4e8e3b248c77b919e'},Mwezi Primary School,1-017-1-004-01,39.59731544,724,64.08839779,2021
13978,{'$oid': '61c8c8e4e8e3b248c77b92d4'},Kisweka C.O.U.,1-017-1-026-01,34.6835443,653,63.85911179,2021
14044,{'$oid': '61c8c8e5e8e3b248c77b942e'},Wabinyira T/C,1-017-1-035-05,58.47750865,481,63.61746362,2021
14125,{'$oid': '61c8c8e5e8e3b248c77b933f'},Kabindo Mosque,1-017-1-028-11,44.11764706,174,63.79310345,2021
14132,{'$oid': '61c8c8e5e8e3b248c77b9375'},Kyaato Mosque,1-017-1-011-06,35.03184713,251,63.74501992,2021
14188,{'$oid': '61c8c8e5e8e3b248c77b9356'},Ddegeyaalfa Nursery And Pri. Sch.,1-017-1-019-02,38.92215569,265,63.77358491,2021
14298,{'$oid': '61c8c8e5e8e3b248c77b94fb'},Bulamazzi P/S,1-017-1-033-04,44.04255319,783,63.47381865,2021
15086,{'$oid': '61c8c8e6e8e3b248c77b9863'},Goyero C.O.U.,1-017-1-014-06,70.03745318,460,62.82608696,2021
15318,{'$oid': '61c8c8e6e8e3b248c77b9727'},Kijjumaggwa P. School (A- M),1-017-1-031-01,68.75,647,63.06027821,2021
15766,{'$oid': '61c8c8e6e8e3b248c77b9932'},Goyero C.O.U.,1-017-1-014-04,53.75722543,316,62.65822785,2021
15841,{'$oid': '61c8c8e6e8e3b248c77b999e'},Apolo Pri. Sch.,1-017-1-039-02,33.69565217,302,62.58278146,2021
15917,{'$oid': '61c8c8e6e8e3b248c77b9a4f'},Kisanda P/S,1-017-1-006-04,49.62406015,429,62.47086247,2021
16175,{'$oid': '61c8c8e7e8e3b248c77b9cee'},Katoma P. School,1-017-1-014-01,28.06324111,455,61.97802198,2021
16476,{'$oid': '61c8c8e7e8e3b248c77b9be9'},Kagobe Primary School,1-017-1-010-01,28.53403141,629,62.16216216,2021
17002,{'$oid': '61c8c8e7e8e3b248c77b9f0d'},Kalagala C.O.U. P/S,1-017-1-037-03,30.93333333,632,61.55063291,2021
17043,{'$oid': '61c8c8e7e8e3b248c77ba043'},Islamic Centre P. School,1-017-1-020-02,26.72176309,600,61.33333333,2021
17057,{'$oid': '61c8c8e7e8e3b248c77ba0d7'},Kabbo Playground,1-017-1-003-02,31.65829146,668,61.22754491,2021
17105,{'$oid': '61c8c8e7e8e3b248c77ba072'},Mutooma C.O.U. P. School,1-017-1-006-01,46.3800905,752,61.30319149,2021
17338,{'$oid': '61c8c8e7e8e3b248c77b9fb6'},Summit Primary School,1-017-1-028-10,28.99408284,306,61.4379085,2021
17396,{'$oid': '61c8c8e7e8e3b248c77b9f50'},Kasubi P. School,1-017-1-014-03,54.92957746,600,61.5,2021
17461,{'$oid': '61c8c8e7e8e3b248c77b9f7f'},Nakatooke T/C,1-017-1-002-05,40.90909091,257,61.47859922,2021
17523,{'$oid': '61c8c8e7e8e3b248c77ba188'},Kijwiga Catholic Church,1-017-1-018-01,34.7826087,234,61.11111111,2021
17546,{'$oid': '61c8c8e7e8e3b248c77ba256'},Matagi Islamic P. Sch.,1-017-1-005-04,30.88235294,930,60.96774194,2021
17658,{'$oid': '61c8c8e7e8e3b248c77ba1f4'},Kibiga S/C Hqtrs,1-017-1-016-01,30.71895425,770,61.03896104,2021
