,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
2091,{'$oid': '61c8c8dce8e3b248c77b653d'},Teiligo,4-126-1-020-05,85.63829787,259,79.92277992,2021
2112,{'$oid': '61c8c8dce8e3b248c77b65f7'},Wigweng,4-126-1-025-02,70.91836735,264,78.78787879,2021
2378,{'$oid': '61c8c8dce8e3b248c77b64a8'},Okelkuc,4-126-1-023-02,77.0212766,296,80.74324324,2021
2588,{'$oid': '61c8c8dce8e3b248c77b6796'},Agolowelo P/S,4-126-1-011-02,76.08695652,446,77.13004484,2021
2820,{'$oid': '61c8c8dce8e3b248c77b64de'},Arweny Church Of Uganda,4-126-1-009-05,77.43589744,495,80.4040404,2021
2878,{'$oid': '61c8c8dce8e3b248c77b665d'},Goi Chapel,4-126-1-007-05,62.31884058,185,78.37837838,2021
3223,{'$oid': '61c8c8dde8e3b248c77b6952'},Agengi A,4-126-1-023-01,74.13127413,693,75.75757576,2021
3331,{'$oid': '61c8c8dde8e3b248c77b6a87'},Apire P.7 School B,4-126-1-003-04,64.47761194,479,74.94780793,2021
3870,{'$oid': '61c8c8dde8e3b248c77b6bed'},Ogwil P.7 School,4-126-1-026-01,57.68261965,537,74.11545624,2021
4158,{'$oid': '61c8c8dee8e3b248c77b6d77'},Bar Oryang Church Of Uganda,4-126-1-007-04,59.86238532,663,73.30316742,2021
4256,{'$oid': '61c8c8dee8e3b248c77b6c9b'},Aporotuku P7 School,4-126-1-029-05,70.35928144,484,73.76033058,2021
4991,{'$oid': '61c8c8dee8e3b248c77b6fc7'},Aboli Market,4-126-1-009-02,65.40880503,932,72.31759657,2021
5262,{'$oid': '61c8c8dee8e3b248c77b708c'},Angeokoma,4-126-1-020-03,81.57894737,443,72.00902935,2021
5338,{'$oid': '61c8c8dee8e3b248c77b7185'},Apwori Health Centre Iii,4-126-1-007-02,74.58100559,522,71.64750958,2021
5391,{'$oid': '61c8c8dee8e3b248c77b70fc'},Obalongwen,4-126-1-027-04,74.14965986,206,71.84466019,2021
5532,{'$oid': '61c8c8dfe8e3b248c77b7331'},Apiibor Primary School,4-126-1-025-01,47.19626168,311,71.06109325,2021
5888,{'$oid': '61c8c8dfe8e3b248c77b7314'},Wigweng B Nursery School,4-126-1-007-03,87.00564972,256,71.09375,2021
6117,{'$oid': '61c8c8dfe8e3b248c77b754b'},Alido,4-126-1-009-04,70.15706806,554,70.39711191,2021
6319,{'$oid': '61c8c8dfe8e3b248c77b77a4'},Agwei T.C,4-126-1-023-04,65.84440228,770,69.74025974,2021
6522,{'$oid': '61c8c8dfe8e3b248c77b7407'},Agwei T.C,4-126-1-023-03,77.77777778,589,70.79796265,2021
6537,{'$oid': '61c8c8dfe8e3b248c77b7484'},Ot-Ogole,4-126-1-034-02,78.67803838,685,70.65693431,2021
6612,{'$oid': '61c8c8dfe8e3b248c77b74ae'},Apidyang B,4-126-1-031-03,62.72727273,330,70.60606061,2021
6647,{'$oid': '61c8c8dfe8e3b248c77b75f3'},Amwanga P.7 School,4-126-1-006-02,71.13702624,527,70.20872865,2021
6706,{'$oid': '61c8c8dfe8e3b248c77b764b'},Ayat,4-126-1-020-04,57.84543326,649,70.10785824,2021
6746,{'$oid': '61c8c8dfe8e3b248c77b7693'},Ponga Market,4-126-1-010-03,62.5,277,70.03610108,2021
6810,{'$oid': '61c8c8dfe8e3b248c77b76e0'},Telela P.7 School,4-126-1-029-02,75.35014006,536,69.96268657,2021
6892,{'$oid': '61c8c8dfe8e3b248c77b77db'},Abapiri P 7 School,4-126-1-008-02,49.55357143,343,69.67930029,2021
6937,{'$oid': '61c8c8dfe8e3b248c77b75f2'},Agerinono,4-126-1-020-06,80.61674009,658,70.21276596,2021
6969,{'$oid': '61c8c8dfe8e3b248c77b76f1'},Acowere,4-126-1-013-04,66.66666667,386,69.94818653,2021
7125,{'$oid': '61c8c8e0e8e3b248c77b7915'},Awiritoyo,4-126-1-012-03,74.52830189,470,69.36170213,2021
7254,{'$oid': '61c8c8e0e8e3b248c77b7b14'},Abedober,4-126-1-028-06,58.55855856,347,68.87608069,2021
7407,{'$oid': '61c8c8e0e8e3b248c77b7897'},Aora,4-126-1-005-01,87.28179551,590,69.49152542,2021
7576,{'$oid': '61c8c8e0e8e3b248c77b7802'},Abongo-Ibati,4-126-1-029-06,67.85714286,382,69.63350785,2021
7779,{'$oid': '61c8c8e0e8e3b248c77b783e'},Ayabi P.7 School,4-126-1-018-02,54.72440945,401,69.57605985000001,2021
7790,{'$oid': '61c8c8e0e8e3b248c77b787f'},Agweng,4-126-1-026-02,51.58924205,597,69.51423786,2021
7849,{'$oid': '61c8c8e0e8e3b248c77b7873'},Abany Ipiny,4-126-1-033-04,67.46268657,525,69.52380952,2021
8055,{'$oid': '61c8c8e1e8e3b248c77b7db6'},Abalokweri,4-126-1-004-04,67.83216783,447,68.23266219,2021
8080,{'$oid': '61c8c8e1e8e3b248c77b7c39'},Alero,4-126-1-013-01,65.232358,870,68.62068966,2021
8286,{'$oid': '61c8c8e1e8e3b248c77b7cfb'},Adelorongo P.7 School,4-126-1-029-04,74.83870968,548,68.43065693,2021
8335,{'$oid': '61c8c8e1e8e3b248c77b7eb9'},Angukai,4-126-1-021-05,64.25120773,328,67.98780488,2021
8382,{'$oid': '61c8c8e1e8e3b248c77b7e5c'},Eling,4-126-1-002-06,80.63241107,755,68.0794702,2021
8398,{'$oid': '61c8c8e1e8e3b248c77b7eb8'},Apari Market,4-126-1-030-03,64.80446927,328,67.98780488,2021
8449,{'$oid': '61c8c8e1e8e3b248c77b7c18'},Alebe,4-126-1-005-06,70.21276596,488,68.64754098,2021
8450,{'$oid': '61c8c8e1e8e3b248c77b7c1b'},Ayei Church,4-126-1-011-01,76.7281106,657,68.64535769,2021
8653,{'$oid': '61c8c8e1e8e3b248c77b7ce1'},Goi Primary School,4-126-1-007-01,74.81343284,812,68.4729064,2021
8854,{'$oid': '61c8c8e1e8e3b248c77b7d20'},Punuatar P.7 School,4-126-1-025-03,66.06498195,424,68.39622642,2021
8931,{'$oid': '61c8c8e1e8e3b248c77b7f6f'},Onyong,4-126-1-030-02,77.98742138,507,67.85009862,2021
8965,{'$oid': '61c8c8e1e8e3b248c77b7e90'},Agwenyere Pri. Sch,4-126-1-024-04,68.44262295,369,68.02168022,2021
9327,{'$oid': '61c8c8e2e8e3b248c77b8064'},Ojok Ber Idwogo,4-126-1-021-03,71.11984283,775,67.61290323,2021
9346,{'$oid': '61c8c8e2e8e3b248c77b8118'},Alaket Primary School,4-126-1-009-03,76.92307692,338,67.4556213,2021
9393,{'$oid': '61c8c8e2e8e3b248c77b801e'},Barokango,4-126-1-016-03,60.50724638,427,67.68149883,2021
9449,{'$oid': '61c8c8e2e8e3b248c77b7fc9'},Oriye A,4-126-1-020-01,73.48066298,580,67.75862069,2021
9667,{'$oid': '61c8c8e2e8e3b248c77b8317'},Apolika Primary School,4-126-1-010-01,74.79224377,555,67.02702703,2021
9751,{'$oid': '61c8c8e2e8e3b248c77b8206'},Olanyotai,4-126-1-005-07,62.12121212,336,67.26190476,2021
10141,{'$oid': '61c8c8e2e8e3b248c77b8465'},Acamanumu Corner Dairy,4-126-1-006-04,68.76310273,752,66.75531915,2021
10322,{'$oid': '61c8c8e2e8e3b248c77b83f9'},St. Mathew Church Of Uganda,4-126-1-016-04,65.13761468,356,66.85393258,2021
10461,{'$oid': '61c8c8e2e8e3b248c77b8445'},Akoremor P.7 School,4-126-1-012-01,73.7254902,822,66.78832117,2021
10812,{'$oid': '61c8c8e2e8e3b248c77b85f4'},Chawente  S S,4-126-1-006-03,81.14754098,384,66.40625,2021
10833,{'$oid': '61c8c8e2e8e3b248c77b86a7'},Olio Pag Church,4-126-1-031-04,61.07594937,486,66.25514403,2021
10963,{'$oid': '61c8c8e2e8e3b248c77b86af'},Abuli Primary School,4-126-1-021-02,66.31578947,160,66.25,2021
11024,{'$oid': '61c8c8e3e8e3b248c77b885f'},Goi Church Of Uganda,4-126-1-007-06,45.98214286,364,65.93406593,2021
11048,{'$oid': '61c8c8e3e8e3b248c77b88ea'},Angukai,4-126-1-021-04,59.1954023,275,65.81818182,2021
11273,{'$oid': '61c8c8e3e8e3b248c77b8a0b'},Wigweng,4-126-1-005-05,65.34391534,599,65.60934891,2021
11308,{'$oid': '61c8c8e3e8e3b248c77b8b1b'},Boda P.7 School,4-126-1-008-01,35.14211886,598,65.38461538,2021
11333,{'$oid': '61c8c8e3e8e3b248c77b8a42'},Teyao,4-126-1-028-03,59.86842105,241,65.56016598,2021
11382,{'$oid': '61c8c8e3e8e3b248c77b8795'},Ayabi Trading Centre A,4-126-1-018-01,58.69565217,575,66.08695652,2021
11613,{'$oid': '61c8c8e3e8e3b248c77b8a6d'},Igoti/Aculawic,4-126-1-027-02,55.8974359,644,65.52795031,2021
11723,{'$oid': '61c8c8e3e8e3b248c77b8a68'},Ayabi Trading Centre B,4-126-1-018-03,64.57883369,734,65.53133515,2021
12167,{'$oid': '61c8c8e4e8e3b248c77b8cb4'},Acut,4-126-1-003-03,58.82352941,836,65.07177033,2021
12272,{'$oid': '61c8c8e4e8e3b248c77b8bec'},Ayomlwor,4-126-1-022-02,58.37742504,909,65.23652365,2021
12377,{'$oid': '61c8c8e4e8e3b248c77b8b9f'},Awara,4-126-1-008-05,66.03174603,513,65.30214425,2021
12460,{'$oid': '61c8c8e4e8e3b248c77b8c23'},Alyeli Community Centre,4-126-1-004-03,59.93265993,497,65.19114688,2021
12465,{'$oid': '61c8c8e4e8e3b248c77b8c55'},Adwongowiri Church,4-126-1-011-04,80.0,264,65.15151515,2021
12522,{'$oid': '61c8c8e4e8e3b248c77b8e14'},Chawente Primary School,4-126-1-006-01,72.19512195,332,64.75903614,2021
12546,{'$oid': '61c8c8e4e8e3b248c77b8ed4'},Obalongwen,4-126-1-027-05,56.46258503,243,64.6090535,2021
