,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
2218,{'$oid': '61c8c8dce8e3b248c77b66fa'},Wantembo,2-073-1-015-04,90.4109589,202,77.72277228,2021
2711,{'$oid': '61c8c8dce8e3b248c77b6825'},Bugungu Sec School,2-073-1-018-02,71.53465347,544,76.65441176,2021
2758,{'$oid': '61c8c8dce8e3b248c77b652c'},Kigungu End Time Message Church,2-073-1-004-05,67.44186047,170,80.0,2021
2905,{'$oid': '61c8c8dce8e3b248c77b6715'},Kakindo Miracle Centre,2-073-1-012-01,65.12455516,745,77.58389262,2021
3391,{'$oid': '61c8c8dde8e3b248c77b6ae8'},Angonlyero Trading Centre,2-073-1-023-02,67.1957672,281,74.73309609,2021
3869,{'$oid': '61c8c8dde8e3b248c77b6be6'},Kartum Trading Centre,2-073-1-027-01,74.69879518,116,74.13793103,2021
3874,{'$oid': '61c8c8dde8e3b248c77b6a64'},Kigwera Parish Hqrs,2-073-1-017-01,63.09226933,565,75.04424779,2021
3929,{'$oid': '61c8c8dde8e3b248c77b6bdb'},Kalengeija Roman Catholic Church,2-073-1-002-04,83.5106383,267,74.15730337,2021
4023,{'$oid': '61c8c8dee8e3b248c77b6cd9'},Kamandindi Trading Centre,2-073-1-026-02,85.9375,470,73.61702128,2021
4152,{'$oid': '61c8c8dee8e3b248c77b6d4c'},Kisansya West Borehole,2-073-1-018-01,62.67748479,692,73.41040462,2021
4501,{'$oid': '61c8c8dee8e3b248c77b6e3c'},Nyamasoga  Primary School (N-Z),2-073-1-004-03,76.92307692,74,72.97297297,2021
5007,{'$oid': '61c8c8dee8e3b248c77b7068'},Biiso Scty Hqtrs (L-Z),2-073-1-001-05,83.45323741,229,72.05240175,2021
5256,{'$oid': '61c8c8dee8e3b248c77b704f'},Kijangi Primary School,2-073-1-008-01,74.67532468,652,72.08588957,2021
5536,{'$oid': '61c8c8dfe8e3b248c77b7361'},Katodio Roman Catholic Church,2-073-1-019-01,68.3046683,590,71.01694915,2021
6203,{'$oid': '61c8c8dfe8e3b248c77b743c'},Nyamitete Primary School,2-073-1-007-02,89.3877551,728,70.74175824,2021
6214,{'$oid': '61c8c8dfe8e3b248c77b746c'},Nyamasoga Primary School (A-M),2-073-1-004-02,83.07692308,232,70.68965517,2021
6268,{'$oid': '61c8c8dfe8e3b248c77b765f'},Nyapeya,2-073-1-011-03,76.71232877,107,70.09345794,2021
6625,{'$oid': '61c8c8dfe8e3b248c77b7522'},Ndadamire Borehole,2-073-1-019-03,69.23076923,714,70.44817927,2021
6812,{'$oid': '61c8c8dfe8e3b248c77b76eb'},Waaki Church Of Uganda,2-073-1-025-02,88.39590444,436,69.95412844,2021
7122,{'$oid': '61c8c8e0e8e3b248c77b7909'},Kihungya Health Centre,2-073-1-024-01,72.06477733,382,69.37172775,2021
7175,{'$oid': '61c8c8e0e8e3b248c77b799a'},Bugana Primary School,2-073-1-005-02,76.31067961,767,69.23076923,2021
7212,{'$oid': '61c8c8e0e8e3b248c77b7a5a'},Uriibo P/Society,2-073-1-007-01,82.24852071,504,69.04761905,2021
7473,{'$oid': '61c8c8e0e8e3b248c77b789f'},Kihuuha,2-073-1-001-04,76.13636364,154,69.48051948,2021
7946,{'$oid': '61c8c8e0e8e3b248c77b7bc4'},Buliisa Scty Hqtrs,2-073-1-010-01,60.10928962,825,68.72727273,2021
8311,{'$oid': '61c8c8e1e8e3b248c77b7da0'},Kakoora Pri. Schl,2-073-1-006-03,83.89057751,526,68.25095057,2021
8377,{'$oid': '61c8c8e1e8e3b248c77b7e26'},Kataleba Miracle Centre,2-073-1-005-01,70.83333333,433,68.12933025,2021
8538,{'$oid': '61c8c8e1e8e3b248c77b7cf1'},Kijumbya R/C Church,2-073-1-006-02,88.56088561,412,68.44660194,2021
8648,{'$oid': '61c8c8e1e8e3b248c77b7ca1'},Ndandamire Primary School,2-073-1-017-03,73.75,375,68.53333333,2021
9042,{'$oid': '61c8c8e2e8e3b248c77b8116'},Waiga Primary School,2-073-1-005-03,91.01796407,252,67.46031746,2021
9072,{'$oid': '61c8c8e2e8e3b248c77b8010'},Sitini Church Of Uganda,2-073-1-001-02,65.85365854,390,67.69230769,2021
9171,{'$oid': '61c8c8e2e8e3b248c77b8174'},Udukuru C.O.U,2-073-1-002-03,79.12087912,282,67.37588652,2021
9223,{'$oid': '61c8c8e2e8e3b248c77b80a4'},Biroya Church - Kakora,2-073-1-006-01,85.41666667,376,67.55319149,2021
9406,{'$oid': '61c8c8e2e8e3b248c77b8086'},Kirama Primary School,2-073-1-017-02,74.07407407,864,67.59259259,2021
9672,{'$oid': '61c8c8e2e8e3b248c77b833a'},Kasinyi Catholic Church,2-073-1-029-03,80.51118211,500,67.0,2021
10008,{'$oid': '61c8c8e2e8e3b248c77b83ed'},Kisomero Primary School,2-073-1-029-02,80.58608059,848,66.86320755,2021
10394,{'$oid': '61c8c8e2e8e3b248c77b8400'},Kihungya Trading Centre,2-073-1-025-01,74.24892704,377,66.84350133,2021
10733,{'$oid': '61c8c8e2e8e3b248c77b8753'},Kigwera Trading Centre,2-073-1-020-01,63.28767123,567,66.13756614,2021
10784,{'$oid': '61c8c8e2e8e3b248c77b86ed'},Nyeramya Primary School,2-073-1-024-02,60.85626911,515,66.21359223,2021
10817,{'$oid': '61c8c8e2e8e3b248c77b8615'},Avogera Primary School,2-073-1-026-01,91.92307692,818,66.38141809,2021
10881,{'$oid': '61c8c8e2e8e3b248c77b863a'},Nyamisege Anglican Church,2-073-1-022-03,83.68421053,318,66.35220126,2021
10975,{'$oid': '61c8c8e2e8e3b248c77b86fa'},Biiso Scty Hqtrs (A-K),2-073-1-001-01,78.91891892,287,66.20209059,2021
11260,{'$oid': '61c8c8e3e8e3b248c77b898a'},Itutwe,2-073-1-004-01,86.66666667,210,65.71428571,2021
11265,{'$oid': '61c8c8e3e8e3b248c77b89c3'},Kichoke Trading Centre,2-073-1-019-02,72.16699801,801,65.66791511,2021
11274,{'$oid': '61c8c8e3e8e3b248c77b8a0e'},Ajengera Church Of Uganda,2-073-1-028-01,77.33050847,756,65.60846561,2021
11736,{'$oid': '61c8c8e3e8e3b248c77b8acd'},Kihuura,2-073-1-001-07,83.16831683,165,65.45454545,2021
11763,{'$oid': '61c8c8e3e8e3b248c77b87bf'},Nyamasoga End Time Message Church,2-073-1-004-04,82.35294118,109,66.05504587,2021
11832,{'$oid': '61c8c8e3e8e3b248c77b87be'},Kigwera Miracle Church,2-073-1-020-02,61.15702479,763,66.05504587,2021
11927,{'$oid': '61c8c8e3e8e3b248c77b8ae2'},Buliisa District Hqtrs (K- Z),2-073-1-011-02,72.15777262,677,65.43574594,2021
12803,{'$oid': '61c8c8e4e8e3b248c77b8f04'},St Mary'S Primary School,2-073-1-001-06,63.94052045,432,64.58333333,2021
13179,{'$oid': '61c8c8e4e8e3b248c77b9141'},Kilyango Trading Centre,2-073-1-029-01,73.78435518,784,64.15816327,2021
13201,{'$oid': '61c8c8e4e8e3b248c77b900d'},Ngwedo P/Society,2-073-1-030-01,61.36363636,584,64.38356164,2021
13400,{'$oid': '61c8c8e4e8e3b248c77b9075'},Kalengeija Primary School,2-073-1-002-02,75.19379845,619,64.29725363,2021
13969,{'$oid': '61c8c8e4e8e3b248c77b9283'},Nyamukuta Church Of God,2-073-1-016-02,79.01785714,413,63.92251816,2021
14002,{'$oid': '61c8c8e5e8e3b248c77b934a'},St. Mary'S Primary School,2-073-1-001-03,67.24137931,185,63.78378378,2021
14068,{'$oid': '61c8c8e5e8e3b248c77b9359'},Buliisa District Hqtrs (A- J),2-073-1-011-01,55.52238806,541,63.77079482,2021
14370,{'$oid': '61c8c8e5e8e3b248c77b9379'},Nyeramya Mosque,2-073-1-024-03,64.5320197,342,63.74269006,2021
14733,{'$oid': '61c8c8e5e8e3b248c77b963a'},Kihungya Miracle Centre,2-073-1-025-03,82.03389831,514,63.22957198,2021
15134,{'$oid': '61c8c8e6e8e3b248c77b97c6'},Buliisa Itambiro House,2-073-1-009-01,69.3877551,780,62.94871795,2021
15248,{'$oid': '61c8c8e6e8e3b248c77b9901'},Kisiimo Triangle,2-073-1-012-02,66.10644258,630,62.6984127,2021
15851,{'$oid': '61c8c8e6e8e3b248c77b99d6'},Tangala Roman Catholic Church,2-073-1-003-02,81.43712575,291,62.54295533,2021
16006,{'$oid': '61c8c8e6e8e3b248c77b9b40'},Busingiro Primary School,2-073-1-002-01,75.44303797,692,62.28323699,2021
16447,{'$oid': '61c8c8e6e8e3b248c77b9b19'},Mirembe Primary School,2-073-1-003-01,85.43307087,528,62.31060606,2021
16661,{'$oid': '61c8c8e7e8e3b248c77b9e2f'},Kisinja,2-073-1-016-01,75.2,209,61.72248804,2021
16755,{'$oid': '61c8c8e7e8e3b248c77b9d9e'},Mubako Catholic Church,2-073-1-027-03,74.90774908,477,61.84486373,2021
16994,{'$oid': '61c8c8e7e8e3b248c77b9ee6'},Serule Fellowship Church,2-073-1-014-04,72.05882353,367,61.58038147,2021
17097,{'$oid': '61c8c8e7e8e3b248c77ba017'},Ngwedo Primary School,2-073-1-028-02,85.24590164,730,61.36986301,2021
17329,{'$oid': '61c8c8e7e8e3b248c77b9f53'},Akiimi Pentecostal Church,2-073-1-022-01,82.6625387,587,61.49914821,2021
17584,{'$oid': '61c8c8e7e8e3b248c77ba1d0'},Garasoya Church Of Uganda,2-073-1-022-02,68.46846847,565,61.0619469,2021
17840,{'$oid': '61c8c8e7e8e3b248c77ba1d9'},Kigoya M/Centre,2-073-1-008-03,60.87962963,719,61.05702364,2021
17964,{'$oid': '61c8c8e7e8e3b248c77ba18e'},Munonde Full Gospel Church,2-073-1-014-01,80.0,72,61.11111111,2021
18339,{'$oid': '61c8c8e8e8e3b248c77ba3cd'},Akollo Miracle Church,2-073-1-023-01,57.62711864,417,60.67146283,2021
18598,{'$oid': '61c8c8e8e8e3b248c77ba605'},Kibambura,2-073-1-030-02,72.81553398,561,60.24955437,2021
18766,{'$oid': '61c8c8e8e8e3b248c77ba55b'},Biiso Primary School,2-073-1-001-09,47.9338843,207,60.38647343,2021
19365,{'$oid': '61c8c8e9e8e3b248c77ba84d'},Wanseko Town Annex Primary School,2-073-1-021-04,60.9375,679,59.79381443,2021
19465,{'$oid': '61c8c8e9e8e3b248c77ba766'},Wanseko T/C (L-Z),2-073-1-021-03,68.16976127,677,59.9704579,2021
19895,{'$oid': '61c8c8e9e8e3b248c77ba919'},Katanga Church Of Uganda,2-073-1-021-01,66.14785992,478,59.62343096,2021
21261,{'$oid': '61c8c8eae8e3b248c77bafbe'},Wanseko T/C (A-K),2-073-1-021-02,63.18181818,393,58.2697201,2021
22607,{'$oid': '61c8c8ebe8e3b248c77bb624'},Uduk Ii. Pfc Church,2-073-1-030-03,92.5,301,56.81063123,2021
24240,{'$oid': '61c8c8ece8e3b248c77bbc3a'},Booma Play Ground,2-073-1-013-01,71.22905028,674,55.34124629,2021
24601,{'$oid': '61c8c8ece8e3b248c77bbd1e'},Biiso Scty Hqtrs,2-073-1-001-08,68.42105263,488,55.12295082,2021
25163,{'$oid': '61c8c8ede8e3b248c77bbfd3'},Kisiabi Miracle Centre,2-073-1-009-02,69.36708861,770,54.41558442,2021
25646,{'$oid': '61c8c8ede8e3b248c77bbe52'},Kekeya Infants P/School,2-073-1-015-05,62.58064516,312,54.80769231,2021
27895,{'$oid': '61c8c8eee8e3b248c77bc8fd'},Walukuba Primary School (N-Z),2-073-1-016-04,79.62962963,354,51.69491525,2021
28208,{'$oid': '61c8c8efe8e3b248c77bcb35'},Piida Playground B,2-073-1-015-03,85.36585366,171,50.87719298,2021
28236,{'$oid': '61c8c8efe8e3b248c77bca27'},Christ Life Embasy Church,2-073-1-014-05,77.14285714,158,51.26582278,2021
30320,{'$oid': '61c8c8f0e8e3b248c77bd1fe'},Bugoigo Full Gospel Church,2-073-1-014-03,70.83333333,481,48.23284823,2021
30787,{'$oid': '61c8c8f0e8e3b248c77bd4e9'},Kabolwa C.O.U (N-Z),2-073-1-008-04,66.796875,604,46.85430464,2021
30938,{'$oid': '61c8c8f0e8e3b248c77bd43f'},Piida A Play Ground,2-073-1-015-07,62.60869565,530,47.16981132,2021
31330,{'$oid': '61c8c8f1e8e3b248c77bd6d7'},Triangle Play Ground,2-073-1-015-08,51.54639175,465,45.80645161,2021
31447,{'$oid': '61c8c8f1e8e3b248c77bd627'},Walukuba Primary School (A-M),2-073-1-016-03,81.25,513,46.19883041,2021
31780,{'$oid': '61c8c8f1e8e3b248c77bd831'},Kabolwa C.O.U (A-M),2-073-1-008-02,62.98932384,675,45.03703704,2021
32315,{'$oid': '61c8c8f2e8e3b248c77bda86'},Magali T/C,2-073-1-015-06,57.71812081,363,43.5261708,2021
32463,{'$oid': '61c8c8f2e8e3b248c77bda94'},Bugoigo Pri Sch,2-073-1-014-02,67.68060837,660,43.48484848,2021
32582,{'$oid': '61c8c8f2e8e3b248c77bdbc3'},Piida Playground,2-073-1-015-01,53.36134454,611,42.55319149,2021
34306,{'$oid': '61c8c8f3e8e3b248c77be2ca'},Paraa Primary School,2-073-1-027-02,57.89473684,130,30.76923077,2021
