,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
1536,{'$oid': '61c8c8dbe8e3b248c77b6399'},N. Otike Memorial Pri. School Ii,4-057-1-051-06,83.47457627,289,83.0449827,2021
1565,{'$oid': '61c8c8dbe8e3b248c77b629d'},Corner Beleo T/C,4-057-1-045-01,71.13402062,356,85.95505618,2021
1566,{'$oid': '61c8c8dbe8e3b248c77b6297'},Puta Oyito Yat,4-057-1-021-01,76.82242991,629,86.00953895,2021
1569,{'$oid': '61c8c8dbe8e3b248c77b629a'},Awikori Ii,4-057-1-006-02,79.37062937,342,85.96491228,2021
1570,{'$oid': '61c8c8dbe8e3b248c77b62ba'},Aweiwot C.O.U,4-057-1-045-04,66.01941748,250,85.6,2021
1603,{'$oid': '61c8c8dbe8e3b248c77b6311'},Abolonyero,4-057-1-001-07,82.17391304,283,84.45229682,2021
1667,{'$oid': '61c8c8dbe8e3b248c77b642d'},Acanmakweri,4-057-1-031-04,89.69957082,295,81.69491525,2021
1691,{'$oid': '61c8c8dbe8e3b248c77b62b0'},Arwotcek P7 School Ii,4-057-1-043-03,60.56338028,343,85.71428571,2021
1695,{'$oid': '61c8c8dbe8e3b248c77b62ef'},Anyomcan,4-057-1-042-02,82.44274809,329,84.80243161,2021
1720,{'$oid': '61c8c8dbe8e3b248c77b63a1'},Witur Trading Centre,4-057-1-047-02,85.6,323,82.97213622,2021
1734,{'$oid': '61c8c8dbe8e3b248c77b6429'},Adonyimo  P 7  School  Ii,4-057-1-013-02,81.89655172,345,81.73913043,2021
1747,{'$oid': '61c8c8dbe8e3b248c77b6440'},Ocamolum Catholic Church,4-057-1-038-03,78.43665768,460,81.52173913,2021
1761,{'$oid': '61c8c8dbe8e3b248c77b628c'},Aderolongo C.O.U,4-057-1-018-04,78.0,239,86.19246862,2021
1781,{'$oid': '61c8c8dbe8e3b248c77b6313'},Atomoro Primary School,4-057-1-020-01,83.14606742,437,84.43935927,2021
1791,{'$oid': '61c8c8dbe8e3b248c77b635d'},Acanoryema P7 School,4-057-1-017-02,79.28994083,208,83.65384615,2021
1798,{'$oid': '61c8c8dbe8e3b248c77b6393'},Awelo Sub-County Hqrs Iii,4-057-1-019-03,84.09090909,213,83.09859155,2021
1801,{'$oid': '61c8c8dbe8e3b248c77b63a3'},Abali Chapel,4-057-1-023-03,80.87649402,317,82.96529968,2021
1805,{'$oid': '61c8c8dbe8e3b248c77b63d2'},Adyanglit C.O.U,4-057-1-010-02,65.39440204,485,82.4742268,2021
1840,{'$oid': '61c8c8dbe8e3b248c77b62f9'},Awelo Sub-County Hqrs Ii,4-057-1-019-02,86.11764706,516,84.68992248,2021
1856,{'$oid': '61c8c8dbe8e3b248c77b639a'},Otango Cinge T/C I,4-057-1-046-02,62.97709924,324,83.02469136,2021
1859,{'$oid': '61c8c8dbe8e3b248c77b63b2'},A Co-Oromo,4-057-1-041-03,72.11895911,355,82.81690141,2021
1869,{'$oid': '61c8c8dbe8e3b248c77b63ed'},Opali Community Borehole,4-057-1-017-01,83.7037037,338,82.24852071,2021
1893,{'$oid': '61c8c8dbe8e3b248c77b6314'},Amuk C.O.U,4-057-1-053-01,73.7804878,199,84.42211055,2021
1905,{'$oid': '61c8c8dbe8e3b248c77b633d'},Oribi Trading Centre (B-Z),4-057-1-022-02,59.89010989,231,83.98268398,2021
1912,{'$oid': '61c8c8dbe8e3b248c77b6386'},Amuli Market,4-057-1-012-02,65.98639456,369,83.19783198,2021
1917,{'$oid': '61c8c8dbe8e3b248c77b63b8'},Ajalicare C.O.U,4-057-1-043-04,75.43103448,290,82.75862069,2021
1938,{'$oid': '61c8c8dbe8e3b248c77b6435'},Burkwoyo Primary School,4-057-1-054-02,72.01646091,609,81.6091954,2021
1972,{'$oid': '61c8c8dbe8e3b248c77b6365'},St. Leo Catholic Chapel,4-057-1-017-06,67.64705882,213,83.56807512,2021
1980,{'$oid': '61c8c8dbe8e3b248c77b6396'},Aringoceng T/C,4-057-1-048-03,83.85093168,195,83.07692308,2021
1991,{'$oid': '61c8c8dbe8e3b248c77b6426'},Amolatar,4-057-1-038-01,69.91869919,307,81.75895765,2021
1998,{'$oid': '61c8c8dbe8e3b248c77b6458'},St. Phillip C.O.U,4-057-1-038-02,73.56687898,396,81.31313131,2021
2007,{'$oid': '61c8c8dce8e3b248c77b649b'},Anamwany Primary School,4-057-1-022-03,88.70523416,453,80.79470199,2021
2012,{'$oid': '61c8c8dce8e3b248c77b64bc'},Adwila Community Borehole,4-057-1-016-03,78.7037037,279,80.64516129,2021
2042,{'$oid': '61c8c8dce8e3b248c77b65a9'},Aunga,4-057-1-028-01,76.8707483,395,79.24050633,2021
2058,{'$oid': '61c8c8dce8e3b248c77b6631'},Ayiape Iye Catholic Church,4-057-1-014-01,75.65543071,359,78.55153203,2021
2075,{'$oid': '61c8c8dce8e3b248c77b64b7'},Aleri,4-057-1-039-03,71.50259067,243,80.65843621,2021
2081,{'$oid': '61c8c8dce8e3b248c77b64f2'},Corner Beleo T/C,4-057-1-045-03,69.34306569,350,80.28571429,2021
2085,{'$oid': '61c8c8dce8e3b248c77b651a'},Agwenonywal P7 School(B-Z),4-057-1-036-02,79.54545455,281,80.07117438,2021
2101,{'$oid': '61c8c8dce8e3b248c77b658b'},Anamido P.7 School Ii,4-057-1-049-02,74.05660377,554,79.42238267,2021
2115,{'$oid': '61c8c8dce8e3b248c77b65fa'},N. Otike Memorial Pri. School I,4-057-1-051-05,74.34210526,198,78.78787879,2021
2128,{'$oid': '61c8c8dce8e3b248c77b6463'},Otangocinge I,4-057-1-046-04,73.01038062,378,81.21693122,2021
2130,{'$oid': '61c8c8dce8e3b248c77b6472'},Arwotcek P7 School I,4-057-1-043-02,80.25210084,296,81.08108108,2021
2131,{'$oid': '61c8c8dce8e3b248c77b6477'},Alumyomiwangi Trading Centre,4-057-1-029-01,73.92638037,422,81.04265403,2021
2138,{'$oid': '61c8c8dce8e3b248c77b64a6'},Angeta,4-057-1-048-02,75.96899225,322,80.74534161,2021
2142,{'$oid': '61c8c8dce8e3b248c77b64e5'},Aberler P.7 School I,4-057-1-010-01,71.77615572,535,80.37383178,2021
2156,{'$oid': '61c8c8dce8e3b248c77b6574'},Odokodero Trading Centre,4-057-1-046-01,79.49790795,313,79.55271565,2021
2161,{'$oid': '61c8c8dce8e3b248c77b659b'},Odong Oyere T.C,4-057-1-021-02,81.8443804,440,79.31818182,2021
2214,{'$oid': '61c8c8dce8e3b248c77b66f1'},Nabweyo P7 School Ii,4-057-1-005-02,80.3030303,265,77.73584906,2021
2225,{'$oid': '61c8c8dce8e3b248c77b6717'},Obago(B-Z),4-057-1-037-02,83.33333333,214,77.57009346,2021
2237,{'$oid': '61c8c8dce8e3b248c77b675d'},Alobo-Okwe,4-057-1-031-01,81.51515152,446,77.35426009,2021
2258,{'$oid': '61c8c8dce8e3b248c77b666b'},Akol P/School,4-057-1-048-01,75.06361323,507,78.30374753,2021
