,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
15,{'$oid': '61c8c8dae8e3b248c77b5cfc'},Nyabyondo (A-L),2-062-1-001-01,96.77419355,312,100.0,2021
16,{'$oid': '61c8c8dae8e3b248c77b5cfe'},Kamaaya Church Of Nathereen,2-062-1-003-03,100.0,533,100.0,2021
17,{'$oid': '61c8c8dae8e3b248c77b5d0d'},Nyakago C.O.U,2-062-1-014-01,100.0,318,100.0,2021
18,{'$oid': '61c8c8dae8e3b248c77b5d13'},Kyakabindi Parents Sch,2-062-1-015-03,90.90909091,500,100.0,2021
19,{'$oid': '61c8c8dae8e3b248c77b5d14'},Rukiri - Rwenkunguru,2-062-1-015-04,100.0,443,100.0,2021
20,{'$oid': '61c8c8dae8e3b248c77b5d15'},Rugarama Catholic Church,2-062-1-015-06,100.0,504,100.0,2021
21,{'$oid': '61c8c8dae8e3b248c77b5d1b'},Kigando C.O.U,2-062-1-015-19,100.0,310,100.0,2021
22,{'$oid': '61c8c8dae8e3b248c77b5d33'},Karunga Catholic Church,2-062-1-023-02,100.0,591,100.0,2021
23,{'$oid': '61c8c8dae8e3b248c77b5d3e'},Nyakigyera Parish Hqtrs,2-062-2-002-05,91.59292035,226,100.0,2021
24,{'$oid': '61c8c8dae8e3b248c77b5d46'},Nyarubungo I,2-062-2-003-11,95.14925373,273,100.0,2021
25,{'$oid': '61c8c8dae8e3b248c77b5d4c'},Rwenfunjo,2-062-2-003-20,99.35760171,467,100.0,2021
26,{'$oid': '61c8c8dae8e3b248c77b5d5b'},Rugarama Catholic Church,2-062-2-011-28,97.78156997,586,100.0,2021
27,{'$oid': '61c8c8dae8e3b248c77b5d60'},Bugarika C.O.U,2-062-2-014-11,97.6109215,592,100.0,2021
42,{'$oid': '61c8c8dae8e3b248c77b5dd0'},Ntuura,2-062-1-004-08,100.0,408,100.0,2021
43,{'$oid': '61c8c8dae8e3b248c77b5dd6'},Bigasha C.O.U,2-062-1-009-08,100.0,98,100.0,2021
44,{'$oid': '61c8c8dae8e3b248c77b5de0'},St Aloysious Pri Sch,2-062-1-019-03,100.0,442,100.0,2021
45,{'$oid': '61c8c8dae8e3b248c77b5de3'},Ishunga Pentecostal Church,2-062-1-022-06,99.42528736,174,100.0,2021
46,{'$oid': '61c8c8dae8e3b248c77b5de7'},Kyabinunga Health Centre Ii B,2-062-2-002-26,91.18942731,232,100.0,2021
47,{'$oid': '61c8c8dae8e3b248c77b5ded'},Kyamuguruma Nazarene Church,2-062-2-003-30,100.0,194,100.0,2021
48,{'$oid': '61c8c8dae8e3b248c77b5dee'},Nyakahita C.O.U,2-062-2-003-31,99.31034483,145,100.0,2021
49,{'$oid': '61c8c8dae8e3b248c77b5df0'},Kahirimbi Pri Sch (M-Z),2-062-2-004-32,94.81216458,568,100.0,2021
50,{'$oid': '61c8c8dae8e3b248c77b5df1'},Kakunyu Junior School,2-062-2-004-34,91.72714078,691,100.0,2021
56,{'$oid': '61c8c8dae8e3b248c77b5e3e'},Ntenga C.O.U,2-062-1-009-05,98.94736842,571,99.82486865,2021
60,{'$oid': '61c8c8dae8e3b248c77b5e59'},Kajaaho Pri Sch,2-062-2-011-40,99.13258984,809,99.75278121,2021
64,{'$oid': '61c8c8dae8e3b248c77b5e69'},Rwangabo I,2-062-1-016-10,90.15918958,704,99.71590909,2021
76,{'$oid': '61c8c8dae8e3b248c77b5d12'},Kakuuto Pri Sch,2-062-1-014-07,99.62686567,268,100.0,2021
77,{'$oid': '61c8c8dae8e3b248c77b5d1a'},Ngarama Catholic Pri Sch,2-062-1-015-16,94.31438127,299,100.0,2021
