,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
160,{'$oid': '61c8c8dae8e3b248c77b5db7'},Ntayera,1-093-1-061-01,99.36305732,157,100.0,2021
246,{'$oid': '61c8c8dae8e3b248c77b5e57'},Katuugo [a-M],1-093-1-065-03,99.5157385,420,99.76190476,2021
285,{'$oid': '61c8c8dae8e3b248c77b5db2'},St. Kizito Primary School,1-093-1-054-01,99.71988796,360,100.0,2021
286,{'$oid': '61c8c8dae8e3b248c77b5db5'},Kagaali,1-093-1-058-04,100.0,457,100.0,2021
292,{'$oid': '61c8c8dae8e3b248c77b5dc9'},Ranch No. 4 Church,1-093-1-060-02,100.0,182,100.0,2021
344,{'$oid': '61c8c8dae8e3b248c77b5db4'},Rwengaju,1-093-1-057-02,98.85844749,440,100.0,2021
413,{'$oid': '61c8c8dae8e3b248c77b5db3'},Lubiri (A-L),1-093-1-054-03,100.0,527,100.0,2021
415,{'$oid': '61c8c8dae8e3b248c77b5dc8'},Bukyeya Elim Church,1-093-1-055-03,100.0,100,100.0,2021
479,{'$oid': '61c8c8dae8e3b248c77b5db6'},Katengeto,1-093-1-054-06,100.0,180,100.0,2021
557,{'$oid': '61c8c8dae8e3b248c77b6024'},Banda Health Centre Ii,1-093-1-056-01,97.25085911,301,97.6744186,2021
571,{'$oid': '61c8c8dae8e3b248c77b5ea8'},Lubiri (M-Z),1-093-1-054-04,100.0,446,99.55156951,2021
587,{'$oid': '61c8c8dae8e3b248c77b5efd'},Kasejere Primary School,1-093-1-060-01,100.0,423,99.29078014,2021
601,{'$oid': '61c8c8dae8e3b248c77b5f4f'},Nabweyo Primary School,1-093-1-054-02,100.0,195,98.97435897,2021
766,{'$oid': '61c8c8dae8e3b248c77b5f12'},Akapa,1-093-1-056-02,95.96774194,128,99.21875,2021
811,{'$oid': '61c8c8dae8e3b248c77b6059'},Nalukonge (N-Z),1-093-1-058-03,98.72881356,246,97.15447154,2021
910,{'$oid': '61c8c8dae8e3b248c77b5f8d'},Kayanja,1-093-1-061-03,97.61904762,385,98.7012987,2021
927,{'$oid': '61c8c8dae8e3b248c77b6002'},Gala,1-093-1-057-01,100.0,487,97.94661191,2021
1069,{'$oid': '61c8c8dbe8e3b248c77b6086'},Kitegwa P/S,1-093-1-059-01,100.0,328,96.64634146,2021
1093,{'$oid': '61c8c8dbe8e3b248c77b612c'},Lubiri (M?Z),1-093-1-054-05,97.9966611,640,93.59375,2021
1094,{'$oid': '61c8c8dbe8e3b248c77b6143'},Sunga,1-093-1-058-01,82.80871671,926,93.08855292,2021
1193,{'$oid': '61c8c8dbe8e3b248c77b624d'},Kamutiika Building Tomorrow Pr.Sch.,1-093-1-056-05,100.0,172,87.20930233,2021
1202,{'$oid': '61c8c8dbe8e3b248c77b6073'},Buwanga,1-093-1-055-01,99.53917051,224,96.875,2021
1434,{'$oid': '61c8c8dbe8e3b248c77b6230'},Nalukonge (A - M),1-093-1-058-02,88.59649123,390,87.69230769,2021
1448,{'$oid': '61c8c8dbe8e3b248c77b60cc'},Biroboka,1-093-1-061-02,96.2962963,226,95.57522124,2021
1505,{'$oid': '61c8c8dbe8e3b248c77b6280'},Katuugo [n-Z],1-093-1-065-05,93.2642487,242,86.36363636,2021
1665,{'$oid': '61c8c8dbe8e3b248c77b642a'},Kayanja,1-093-1-061-04,98.14814815,334,81.73652695,2021
2893,{'$oid': '61c8c8dce8e3b248c77b66ce'},Kikabala Primary School,1-093-1-011-04,53.65853659,163,77.91411043,2021
2896,{'$oid': '61c8c8dce8e3b248c77b66d6'},Masodde Standard Primary School,1-093-1-055-02,99.0990991,289,77.85467128,2021
3014,{'$oid': '61c8c8dde8e3b248c77b6894'},Serunyonyi Mosque,1-093-1-039-02,45.80645161,211,76.30331754,2021
3116,{'$oid': '61c8c8dde8e3b248c77b69a5'},God Is God Church,1-093-1-079-02,93.23671498,274,75.54744526,2021
3120,{'$oid': '61c8c8dde8e3b248c77b69c5'},Kisala Primary,1-093-1-006-01,89.47368421,375,75.46666667,2021
3319,{'$oid': '61c8c8dde8e3b248c77b6a14'},Kalungu Primary School,1-093-1-007-02,77.62237762,396,75.25252525,2021
3860,{'$oid': '61c8c8dde8e3b248c77b6b8f'},Kitabona Church Of Uganda,1-093-1-019-03,50.0,191,74.34554974,2021
4045,{'$oid': '61c8c8dee8e3b248c77b6d7d'},Kamudindi P. School,1-093-1-004-03,60.0,277,73.28519856,2021
4110,{'$oid': '61c8c8dee8e3b248c77b6d8c'},Nkondo P/S,1-093-1-007-01,64.59459459,546,73.26007326,2021
4266,{'$oid': '61c8c8dee8e3b248c77b6cdf'},Kalagi A,1-093-1-011-01,30.0,288,73.61111111,2021
4341,{'$oid': '61c8c8dee8e3b248c77b6d45'},Kigoma Trading Centre,1-093-1-031-01,34.84848485,365,73.42465753,2021
4451,{'$oid': '61c8c8dee8e3b248c77b6ca4'},Kamudindi P. School,1-093-1-004-02,56.21890547,293,73.72013652,2021
4557,{'$oid': '61c8c8dee8e3b248c77b6f79'},Malungu Lc I,1-093-1-040-02,77.33990148,312,72.43589744,2021
5075,{'$oid': '61c8c8dee8e3b248c77b7046'},Buyondo B Grounds,1-093-1-035-04,35.29411765,269,72.11895911,2021
5219,{'$oid': '61c8c8dee8e3b248c77b710b'},Kirangazi Primary School,1-093-1-023-04,30.45977011,252,71.82539683,2021
5552,{'$oid': '61c8c8dee8e3b248c77b720b'},Kisala Catholic Church,1-093-1-006-02,89.2733564,452,71.46017699,2021
5689,{'$oid': '61c8c8dee8e3b248c77b7283'},Ndibata Primary School,1-093-1-030-01,43.17343173,397,71.28463476,2021
5856,{'$oid': '61c8c8dee8e3b248c77b7211'},Kiboga Parents P/S,1-093-1-010-02,43.31683168,571,71.45359019,2021
5917,{'$oid': '61c8c8dfe8e3b248c77b73bd'},Luwuna - Namugambe T/C,1-093-1-003-04,75.88932806,378,70.8994709,2021
5985,{'$oid': '61c8c8dfe8e3b248c77b7396'},Kafagagala,1-093-1-008-02,32.0,179,70.94972067,2021
6066,{'$oid': '61c8c8dfe8e3b248c77b75b2'},Kisojo P/S,1-093-1-030-02,34.94505495,673,70.28231798,2021
6095,{'$oid': '61c8c8dfe8e3b248c77b74bd'},Kisimbi Primary School,1-093-1-004-01,60.12658228,476,70.58823529,2021
6425,{'$oid': '61c8c8dfe8e3b248c77b76c8'},Kikonda (N?Z),1-093-1-062-03,39.70588235,390,70.0,2021
6566,{'$oid': '61c8c8dfe8e3b248c77b7557'},Nankandula,1-093-1-001-02,44.72049689,466,70.38626609,2021
6799,{'$oid': '61c8c8dfe8e3b248c77b768c'},Ncucwe T/C,1-093-1-038-02,32.27848101,237,70.04219409,2021
6816,{'$oid': '61c8c8dfe8e3b248c77b770f'},St. Charles Lwanga,1-093-1-038-03,47.63779528,369,69.91869919,2021
7322,{'$oid': '61c8c8e0e8e3b248c77b7a41'},Kikonda Primary School,1-093-1-064-04,55.88235294,430,69.06976744,2021
7325,{'$oid': '61c8c8e0e8e3b248c77b7a53'},Natyole,1-093-1-038-01,30.9178744,307,69.05537459,2021
7609,{'$oid': '61c8c8e0e8e3b248c77b78e8'},Kabanyi Sda Church,1-093-1-045-04,74.58563536,268,69.40298507,2021
7875,{'$oid': '61c8c8e0e8e3b248c77b7959'},Nalinya Health Centre Iii,1-093-1-009-03,45.2887538,482,69.29460581,2021
7879,{'$oid': '61c8c8e0e8e3b248c77b796b'},Vvumba Primary School,1-093-1-008-01,21.00840336,345,69.27536232,2021
8002,{'$oid': '61c8c8e1e8e3b248c77b7bca'},Kasanje,1-093-1-002-02,53.7593985,422,68.72037915,2021
8436,{'$oid': '61c8c8e1e8e3b248c77b7be3'},Bumbiri Trading Centre,1-093-1-012-02,67.18266254,476,68.69747899,2021
8491,{'$oid': '61c8c8e1e8e3b248c77b7d82'},Namogombe Trading Centre,1-093-1-003-01,51.32743363,350,68.28571429,2021
