,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
70,{'$oid': '61c8c8dae8e3b248c77b5cb1'},Bushiuyo Pri. Sch.,3-026-1-021-03,52.45901639,250,100.0,2021
133,{'$oid': '61c8c8dae8e3b248c77b5cb0'},Makosi T/C,3-026-1-011-01,49.8392283,622,100.0,2021
240,{'$oid': '61c8c8dae8e3b248c77b5e17'},Mujini Social Centre,3-026-1-002-05,71.42857143,335,100.0,2021
442,{'$oid': '61c8c8dae8e3b248c77b5e78'},Lwasohe Cultural Site,3-026-1-037-01,76.0,305,99.67213115,2021
532,{'$oid': '61c8c8dae8e3b248c77b5f95'},Jewa T/C,3-026-1-002-02,61.11111111,223,98.65470852,2021
609,{'$oid': '61c8c8dae8e3b248c77b5f9a'},Nkunsi Catholic Church,3-026-1-002-03,66.30824373,290,98.62068966,2021
622,{'$oid': '61c8c8dae8e3b248c77b5fe8'},Nakigalo,3-026-1-017-01,58.18181818,470,98.08510638,2021
645,{'$oid': '61c8c8dae8e3b248c77b5ef7'},Bugweri Pri Sch,3-026-1-007-01,76.51162791,436,99.31192661,2021
725,{'$oid': '61c8c8dae8e3b248c77b5faa'},Bunamoli Church Of Uganda,3-026-1-031-01,78.38235294,693,98.55699856,2021
887,{'$oid': '61c8c8dae8e3b248c77b5ebe'},Nalumoya P/S,3-026-1-002-04,66.31578947,193,99.48186528,2021
913,{'$oid': '61c8c8dae8e3b248c77b5fb6'},Nambwa Pri Sch,3-026-1-092-02,60.88328076,323,98.45201238,2021
941,{'$oid': '61c8c8dae8e3b248c77b6065'},Nabweya Pri. Sch,3-026-1-018-03,28.04878049,438,97.03196347,2021
958,{'$oid': '61c8c8dae8e3b248c77b5f1b'},Matemu,3-026-1-005-02,65.05823627,619,99.19224556,2021
1065,{'$oid': '61c8c8dbe8e3b248c77b622a'},Nkongola,3-026-1-023-03,76.17449664,342,87.71929825,2021
1118,{'$oid': '61c8c8dbe8e3b248c77b61b8'},Nankobe T.C,3-026-1-018-04,26.39175258,546,90.10989011,2021
1124,{'$oid': '61c8c8dbe8e3b248c77b61fa'},Gangama Pri. Sch A (Nam-Z),3-026-2-007-14,64.13902054,716,88.54748603,2021
1396,{'$oid': '61c8c8dbe8e3b248c77b60d8'},Border Trading Centre,3-026-1-037-02,53.34872979,492,95.32520325,2021
1422,{'$oid': '61c8c8dbe8e3b248c77b61c7'},Nansu C.O.U,3-026-1-019-04,37.33766234,705,89.78723404,2021
1443,{'$oid': '61c8c8dbe8e3b248c77b60b3'},Bushiuyo Mosque,3-026-1-021-01,60.48387097,269,95.91078067,2021
1507,{'$oid': '61c8c8dbe8e3b248c77b628e'},Namawanga Trading Centre,3-026-1-090-01,54.32525952,347,86.16714697,2021
1548,{'$oid': '61c8c8dbe8e3b248c77b6421'},Kibiniko C.O.U,3-026-1-081-01,28.88888889,346,81.79190751,2021
1575,{'$oid': '61c8c8dbe8e3b248c77b62ae'},Bunatsoma,3-026-1-022-01,62.72189349,407,85.74938575,2021
1591,{'$oid': '61c8c8dbe8e3b248c77b62fe'},Kibanda,3-026-1-036-02,73.86363636,319,84.63949843,2021
1687,{'$oid': '61c8c8dbe8e3b248c77b6284'},Bumakika Catholic Church,3-026-1-090-04,64.0,439,86.33257403,2021
