,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
7,{'$oid': '61c8c8dae8e3b248c77b5cb8'},Akaihamba Iv Trading Centre,2-027-1-009-05,100.0,590,100.0,2021
125,{'$oid': '61c8c8dae8e3b248c77b5e3c'},Kyenshama Trading Centre,2-027-1-009-06,98.78892734,579,99.82728843,2021
134,{'$oid': '61c8c8dae8e3b248c77b5cb4'},Kyendahi 3 Rwamanuuma Pri Sch,2-027-1-003-03,93.07535642,491,100.0,2021
184,{'$oid': '61c8c8dae8e3b248c77b5e6b'},Ntuura Nsiika Hqtrs,2-027-1-005-05,94.10029499,351,99.71509972,2021
194,{'$oid': '61c8c8dae8e3b248c77b5cb3'},Ngango Iv Rweshe Catholic Church,2-027-1-002-04,100.0,565,100.0,2021
195,{'$oid': '61c8c8dae8e3b248c77b5cb5'},Omukagyera Pri Sch (M-Z),2-027-1-005-04,88.68312757,493,100.0,2021
196,{'$oid': '61c8c8dae8e3b248c77b5cb9'},Aharibiri Trading Centre,2-027-1-010-04,95.72301426,501,100.0,2021
197,{'$oid': '61c8c8dae8e3b248c77b5cba'},Bunenero Parish Hqtrs,2-027-1-027-01,96.93053312,619,100.0,2021
249,{'$oid': '61c8c8dae8e3b248c77b5e63'},Kyendahi 1 Parish Hqtrs,2-027-1-003-01,98.48275862,747,99.73226238,2021
257,{'$oid': '61c8c8dae8e3b248c77b5cb7'},Kibingo Trading Centre Ground,2-027-1-006-03,99.45054945,555,100.0,2021
314,{'$oid': '61c8c8dae8e3b248c77b5cb2'},Bwengure Iii C.O.U,2-027-1-001-03,94.33272395,554,100.0,2021
375,{'$oid': '61c8c8dae8e3b248c77b5cb6'},Bright Grammar Pri Sch,2-027-1-006-02,98.87133183,465,100.0,2021
491,{'$oid': '61c8c8dae8e3b248c77b5e27'},Kibingo Parish Hqtrs,2-027-1-006-01,99.45945946,770,99.87012987,2021
508,{'$oid': '61c8c8dae8e3b248c77b5ed3'},Agempiri Trading Centre,2-027-1-007-02,93.33333333,170,99.41176471,2021
533,{'$oid': '61c8c8dae8e3b248c77b5f97'},Keigoshora C.O.U,2-027-1-028-01,93.8,511,98.63013699,2021
577,{'$oid': '61c8c8dae8e3b248c77b5eba'},Ruburara Pri Sch,2-027-1-031-01,95.09043928,393,99.49109415,2021
617,{'$oid': '61c8c8dae8e3b248c77b5fc1'},Ruburara Parish Hqtrs,2-027-1-031-03,94.6969697,425,98.35294118,2021
637,{'$oid': '61c8c8dae8e3b248c77b5ea9'},Ngango Iii Rweshe Pri Sch,2-027-1-002-02,86.18266979,445,99.5505618,2021
652,{'$oid': '61c8c8dae8e3b248c77b5f37'},Nyabisirira Parish Hqtrs,2-027-1-009-01,95.16908213,434,99.07834101,2021
666,{'$oid': '61c8c8dae8e3b248c77b5fc4'},Kanyamurimi Playground,2-027-2-012-02,83.50515464,593,98.31365936,2021
682,{'$oid': '61c8c8dae8e3b248c77b6044'},Nyaminyobwa Pri Sch,2-027-1-001-04,92.10110585,655,97.40458015,2021
701,{'$oid': '61c8c8dae8e3b248c77b5ecd'},Ngango I Kagongi Pri Sch,2-027-1-002-01,91.66666667,704,99.43181818,2021
706,{'$oid': '61c8c8dae8e3b248c77b5ee8'},Mirongo Parish Hqtrs,2-027-1-008-05,91.28289474,622,99.35691318,2021
752,{'$oid': '61c8c8dae8e3b248c77b5eab'},Ntuura Parish Hqtrs,2-027-1-005-02,90.90909091,664,99.54819277,2021
763,{'$oid': '61c8c8dae8e3b248c77b5f05'},Kyamatambarire Pri Sch,2-027-1-029-01,92.44332494,403,99.25558313,2021
775,{'$oid': '61c8c8dae8e3b248c77b5f6d'},Kyarushanje Pri Sch,2-027-1-005-03,94.77351916,598,98.82943144,2021
831,{'$oid': '61c8c8dae8e3b248c77b5f0f'},Central Cell [k - L] Nyamityobora Stadium,2-027-2-002-23,68.77470356,514,99.22178988,2021
836,{'$oid': '61c8c8dae8e3b248c77b5f2c'},Kisenyi [a - B] Madalasati Pri Sch,2-027-2-001-08,71.1409396,460,99.13043478,2021
874,{'$oid': '61c8c8dae8e3b248c77b606e'},Amabaare C.O.U,2-027-1-009-07,100.0,652,96.93251534,2021
889,{'$oid': '61c8c8dae8e3b248c77b5eda'},Kyenkobe Church Of Nathereen,2-027-1-028-02,97.1875,648,99.38271605,2021
899,{'$oid': '61c8c8dae8e3b248c77b5f30'},Kabaare Parish Hqtrs,2-027-1-015-09,92.61744966,457,99.12472648,2021
955,{'$oid': '61c8c8dae8e3b248c77b5f03'},Kahoma Playground,2-027-1-031-04,96.47779479,677,99.26144756,2021
965,{'$oid': '61c8c8dae8e3b248c77b5f59'},Omukagyera Pri Sch (A-L),2-027-1-005-01,99.81515712,561,98.93048128,2021
1053,{'$oid': '61c8c8dbe8e3b248c77b61f2'},Rwenjeru C.O.U,2-027-2-020-03,93.95833333,548,88.68613139,2021
