,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
10,{'$oid': '61c8c8dae8e3b248c77b5cda'},Ryeru,1-036-2-018-01,86.8385346,749,100.0,2021
73,{'$oid': '61c8c8dae8e3b248c77b5cd9'},Rwensinga C.O.U,1-036-2-017-04,93.3901919,473,100.0,2021
317,{'$oid': '61c8c8dae8e3b248c77b5cd8'},Kyakutuuma (A-M) - Community Playground,1-036-1-005-05,100.0,180,100.0,2021
523,{'$oid': '61c8c8dae8e3b248c77b5f5b'},Magabi-Gayaza P/School,1-036-1-016-04,88.79781421,374,98.93048128,2021
674,{'$oid': '61c8c8dae8e3b248c77b5ffa'},Two Stars P/School,1-036-1-016-05,93.76623377,401,98.00498753,2021
677,{'$oid': '61c8c8dae8e3b248c77b600e'},Rwentare C.O.U,1-036-2-025-01,85.42635659,665,97.89473684,2021
1017,{'$oid': '61c8c8dbe8e3b248c77b60ee'},Kayonza P/School,1-036-2-028-01,92.57731959,525,95.04761905,2021
1447,{'$oid': '61c8c8dbe8e3b248c77b60c6'},Kizinga,1-036-2-008-01,97.96610169,627,95.6937799,2021
1483,{'$oid': '61c8c8dbe8e3b248c77b61e6'},Rwambajjo P/School,1-036-2-006-03,94.22875131,1093,88.92955169,2021
1500,{'$oid': '61c8c8dbe8e3b248c77b626f'},Rwakakala P/School,1-036-2-017-05,89.25081433,366,86.61202186,2021
1704,{'$oid': '61c8c8dbe8e3b248c77b6340'},Mweruka  P/School,1-036-2-016-01,91.49484536,468,83.97435897,2021
1884,{'$oid': '61c8c8dbe8e3b248c77b62b2'},Karokarungi Playground,1-036-2-007-04,92.71523179,182,85.71428571,2021
2127,{'$oid': '61c8c8dce8e3b248c77b665b'},Lunooni P/School,1-036-2-041-05,79.22077922,509,78.38899804,2021
2760,{'$oid': '61c8c8dce8e3b248c77b6533'},Kigoto Catholic Church,1-036-2-038-03,80.27734977,838,79.9522673,2021
3078,{'$oid': '61c8c8dde8e3b248c77b6942'},Nabunga P/School,1-036-1-019-02,33.44594595,405,75.80246914,2021
3641,{'$oid': '61c8c8dde8e3b248c77b68e5'},Kakiri P/School,1-036-2-027-01,76.17260788,723,76.07192254,2021
4090,{'$oid': '61c8c8dee8e3b248c77b6cff'},Nazareth- Sec. School,1-036-1-023-02,17.56756757,412,73.54368932,2021
4261,{'$oid': '61c8c8dee8e3b248c77b6ca7'},Buwaga,1-036-1-005-03,68.46846847,156,73.71794872,2021
4897,{'$oid': '61c8c8dee8e3b248c77b6ec4'},Four Square Church,1-036-1-007-03,63.36206897,326,72.6993865,2021
4959,{'$oid': '61c8c8dee8e3b248c77b6ed2'},Buwaga,1-036-1-005-07,85.34482759,161,72.67080745,2021
5016,{'$oid': '61c8c8dee8e3b248c77b70bd'},Kasoga Catholic Church,1-036-1-002-04,31.53153153,638,71.94357367,2021
5028,{'$oid': '61c8c8dee8e3b248c77b70ee'},Simba P/School (A-M),1-036-1-004-06,27.66798419,359,71.86629526,2021
5039,{'$oid': '61c8c8dee8e3b248c77b7140'},Kalyeyengera Catholic Church,1-036-2-029-02,83.18318318,499,71.74348697,2021
5099,{'$oid': '61c8c8dee8e3b248c77b7103'},Kinota C.O.U P/School,1-036-2-028-03,94.98525074,490,71.83673469,2021
5110,{'$oid': '61c8c8dee8e3b248c77b7158'},Kalugu Spring,1-036-2-005-06,73.33333333,205,71.70731707,2021
5459,{'$oid': '61c8c8dee8e3b248c77b7127'},Kanamiti Catholic Church,1-036-1-004-05,47.55555556,333,71.77177177,2021
5465,{'$oid': '61c8c8dee8e3b248c77b7145'},Kizira,1-036-2-031-03,75.42662116,414,71.73913043,2021
5535,{'$oid': '61c8c8dfe8e3b248c77b735a'},Nkoni P/School,1-036-1-001-03,48.38709677,421,71.02137767,2021
5662,{'$oid': '61c8c8dfe8e3b248c77b7382'},Nkundi Full Gospel Church,1-036-2-006-02,87.81725888,286,70.97902098,2021
5813,{'$oid': '61c8c8dee8e3b248c77b7268'},Kanamiti Catholic Church,1-036-1-004-03,53.36225597,659,71.32018209,2021
5859,{'$oid': '61c8c8dee8e3b248c77b7222'},Kaami,1-036-2-002-06,49.27536232,294,71.42857143,2021
6100,{'$oid': '61c8c8dfe8e3b248c77b74d2'},Kasasa Health Centre Iii,1-036-1-008-03,40.99099099,326,70.55214724,2021
6412,{'$oid': '61c8c8dfe8e3b248c77b7645'},Kasankala  Prayers' Palace,1-036-2-032-02,73.51694915,696,70.11494253,2021
6649,{'$oid': '61c8c8dfe8e3b248c77b75f9'},Kakunyu Fishing Ground,1-036-2-023-04,78.60696517,302,70.1986755,2021
6669,{'$oid': '61c8c8dfe8e3b248c77b74eb'},Kalwai,1-036-2-016-02,61.75710594,553,70.5244123,2021
6692,{'$oid': '61c8c8dfe8e3b248c77b75b9'},Katonto Catholic Church,1-036-2-020-06,23.04832714,397,70.27707809,2021
