,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
1269,{'$oid': '61c8c8dbe8e3b248c77b60a3'},Akoboi Kapujan P/S,3-043-2-003-01,68.54599407,350,96.28571429,2021
1297,{'$oid': '61c8c8dbe8e3b248c77b617b'},Kelim/Orimai Borehole,3-043-2-003-04,71.23287671,557,91.74147217,2021
1437,{'$oid': '61c8c8dbe8e3b248c77b6240'},Damasiko Borehole,3-043-2-001-04,63.31967213,558,87.45519713,2021
1471,{'$oid': '61c8c8dbe8e3b248c77b6170'},Akwamor P/S,3-043-1-027-03,68.98148148,235,91.91489362,2021
1624,{'$oid': '61c8c8dbe8e3b248c77b6359'},Okore Central,3-043-1-015-03,91.82389937,190,83.68421053,2021
1677,{'$oid': '61c8c8dbe8e3b248c77b63f6'},Usuk Girls Primary School,3-043-1-023-02,74.08536585,399,82.20551378,2021
1745,{'$oid': '61c8c8dbe8e3b248c77b641e'},Oale At Mango Tree,3-043-1-009-03,80.56338028,434,81.79723502,2021
2054,{'$oid': '61c8c8dce8e3b248c77b6623'},Ocorimongin Catholic Church,3-043-1-001-03,85.71428571,276,78.62318841,2021
2113,{'$oid': '61c8c8dce8e3b248c77b65f8'},Kareu,3-043-2-007-05,89.23076923,165,78.78787879,2021
2152,{'$oid': '61c8c8dce8e3b248c77b654a'},Omukuny Borehole,3-043-1-030-01,87.62626263,496,79.83870968,2021
2183,{'$oid': '61c8c8dce8e3b248c77b662f'},Obiat Mangoes,3-043-1-014-07,78.78787879,252,78.57142857,2021
2269,{'$oid': '61c8c8dce8e3b248c77b66c2'},Olupe Primary Sch,3-043-1-014-09,71.69811321,68,77.94117647,2021
2281,{'$oid': '61c8c8dce8e3b248c77b6730'},St.Mary'S Okwamomwar Primary School,3-043-1-001-06,84.40860215,240,77.5,2021
2422,{'$oid': '61c8c8dce8e3b248c77b6608'},Omiebeko,3-043-1-014-05,85.40145985,174,78.73563218,2021
2463,{'$oid': '61c8c8dce8e3b248c77b6516'},Oloja,3-043-1-005-02,73.30210773,533,80.11257036,2021
2513,{'$oid': '61c8c8dce8e3b248c77b6494'},Chos,3-043-1-015-05,82.4742268,120,80.83333333,2021
2533,{'$oid': '61c8c8dce8e3b248c77b6536'},Okorio,3-043-2-004-06,80.0,369,79.94579946,2021
2596,{'$oid': '61c8c8dce8e3b248c77b67c8'},Opeuru Aodot,3-043-1-015-01,84.41558442,200,77.0,2021
2635,{'$oid': '61c8c8dce8e3b248c77b668f'},Olupe Lake View Pri. Sch.,3-043-2-009-02,75.73529412,348,78.16091954,2021
2663,{'$oid': '61c8c8dce8e3b248c77b6716'},Rwatama Borehaole,3-043-1-015-06,92.48554913,223,77.57847534,2021
2676,{'$oid': '61c8c8dce8e3b248c77b6753'},Adere Primary School,3-043-2-012-04,82.65306122,380,77.36842105,2021
2689,{'$oid': '61c8c8dce8e3b248c77b67e0'},Morunyang Borehole,3-043-2-010-01,72.20447284,407,76.9041769,2021
2727,{'$oid': '61c8c8dce8e3b248c77b6807'},Obulengorok Primary School,3-043-1-030-02,79.8245614,297,76.76767677,2021
2781,{'$oid': '61c8c8dce8e3b248c77b65ac'},Akwamor P/S,3-043-1-027-02,75.56053812,563,79.21847247,2021
2861,{'$oid': '61c8c8dce8e3b248c77b6653'},Opeuru Aruupo,3-043-1-014-08,91.28440367,278,78.41726619,2021
3082,{'$oid': '61c8c8dde8e3b248c77b6953'},Akisim Primary School,3-043-1-017-01,85.71428571,231,75.75757576,2021
3108,{'$oid': '61c8c8dde8e3b248c77b69ff'},Oregia,3-043-2-002-01,71.66666667,239,75.31380753,2021
3142,{'$oid': '61c8c8dde8e3b248c77b68de'},Kamenu Catholic Church,3-043-2-004-03,81.75675676,389,76.09254499,2021
3393,{'$oid': '61c8c8dde8e3b248c77b6afb'},Oitela Kamenu,3-043-2-004-05,80.47808765,336,74.70238095,2021
3416,{'$oid': '61c8c8dde8e3b248c77b6b9d'},Aakum Primary School,3-043-1-020-04,83.64197531,436,74.31192661,2021
3603,{'$oid': '61c8c8dde8e3b248c77b6975'},Agule Orimai,3-043-2-003-03,74.11444142,485,75.67010309,2021
3744,{'$oid': '61c8c8dde8e3b248c77b6a47'},Kelin/Kapujani,3-043-2-001-03,46.4,499,75.1503006,2021
3815,{'$oid': '61c8c8dde8e3b248c77b6a4c'},Obwobwo  Primary School,3-043-1-028-01,76.62337662,410,75.12195122,2021
3949,{'$oid': '61c8c8dde8e3b248c77b6aeb'},Akworo P/S,3-043-1-026-03,79.74947808,641,74.72698908,2021
3980,{'$oid': '61c8c8dde8e3b248c77b6bd7'},Aloet,3-043-2-013-04,78.68852459,329,74.16413374,2021
3999,{'$oid': '61c8c8dde8e3b248c77b6c29'},Ongatunyo Pri. School,3-043-2-009-01,77.35191638,388,73.96907216,2021
4036,{'$oid': '61c8c8dee8e3b248c77b6d35'},Ogugut,3-043-1-015-02,88.11881188,275,73.45454545,2021
4049,{'$oid': '61c8c8dee8e3b248c77b6dae'},Omodoi Primary Sch.,3-043-2-014-01,66.84350133,515,73.2038835,2021
4144,{'$oid': '61c8c8dee8e3b248c77b6d1e'},Amusia Catholic Church,3-043-2-012-03,86.36363636,449,73.49665924,2021
4186,{'$oid': '61c8c8dee8e3b248c77b6c4f'},Ameila,3-043-1-014-03,92.43697479,161,73.91304348,2021
4234,{'$oid': '61c8c8dee8e3b248c77b6ddf'},Omosingo,3-043-2-002-03,53.35689046,387,73.12661499,2021
4277,{'$oid': '61c8c8dee8e3b248c77b6d19'},Angerepo Primary School,3-043-1-029-03,86.62790698,234,73.5042735,2021
4303,{'$oid': '61c8c8dee8e3b248c77b6dec'},Obwapesur,3-043-1-025-01,68.3982684,316,73.10126582,2021
