,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
2715,{'$oid': '61c8c8dce8e3b248c77b67c7'},Rutojo Catholic Church,2-037-1-017-05,66.82242991,287,77.00348432,2021
3007,{'$oid': '61c8c8dde8e3b248c77b686a'},Byongo Mukijumbura,2-037-1-025-03,87.5502008,331,76.43504532,2021
3300,{'$oid': '61c8c8dde8e3b248c77b6b83'},Ndago Pri Sch Ii,2-037-1-033-05,80.50314465,433,74.36489607,2021
3306,{'$oid': '61c8c8dde8e3b248c77b6be0'},Marashaniro Pri Sch,2-037-1-026-02,83.56807512,588,74.14965986,2021
3375,{'$oid': '61c8c8dde8e3b248c77b6c0c'},Kabuga Health Centre,2-037-1-030-04,88.23529412,624,74.03846154,2021
3445,{'$oid': '61c8c8dde8e3b248c77b6a79'},Rutooma Lc I Offices,2-037-2-018-08,91.35802469,112,75.0,2021
3675,{'$oid': '61c8c8dde8e3b248c77b69f0'},Omukatooma C.O.U,2-037-1-034-04,81.23076923,438,75.34246575,2021
3712,{'$oid': '61c8c8dde8e3b248c77b6919'},Kisya  Pri Sch,2-037-1-018-04,88.65248227,191,75.91623037,2021
3837,{'$oid': '61c8c8dde8e3b248c77b6ae5'},Nyarubare Pri Sch,2-037-1-026-01,71.2195122,285,74.73684211,2021
3901,{'$oid': '61c8c8dde8e3b248c77b6b19'},Bweyo Catholic Church,2-037-1-033-03,76.30922693,540,74.62962963,2021
3963,{'$oid': '61c8c8dde8e3b248c77b6b42'},Rukindo Pri Sch,2-037-1-023-02,89.56228956,404,74.5049505,2021
4083,{'$oid': '61c8c8dee8e3b248c77b6cd1'},Kitagata Catholic Church,2-037-1-032-05,79.04761905,584,73.63013699,2021
4191,{'$oid': '61c8c8dee8e3b248c77b6cab'},Rwenkuba Lc 1 Office,2-037-2-023-06,80.0,506,73.71541502,2021
4605,{'$oid': '61c8c8dee8e3b248c77b6f9e'},Omukambi Play Ground,2-037-1-028-07,83.57142857,391,72.37851662,2021
4621,{'$oid': '61c8c8dee8e3b248c77b6fff'},Kibare Pri Sch,2-037-1-021-02,91.30434783,360,72.22222222,2021
4660,{'$oid': '61c8c8dee8e3b248c77b6ee6'},Kigazi Catholic Church,2-037-1-023-04,84.39716312,402,72.63681592,2021
4746,{'$oid': '61c8c8dee8e3b248c77b6fdc'},Karukaata Parents Pri Sch,2-037-1-027-06,78.69565217,321,72.2741433,2021
4802,{'$oid': '61c8c8dee8e3b248c77b6f69'},Kashozi C.O.U,2-037-3-003-05,63.63636364,403,72.45657568,2021
4925,{'$oid': '61c8c8dee8e3b248c77b6fa2'},Omukashenyi Catholic Church,2-037-1-032-02,84.6473029,333,72.37237237,2021
4990,{'$oid': '61c8c8dee8e3b248c77b6fc5'},Ihimbo C.O.U,2-037-2-017-02,73.73737374,289,72.3183391,2021
5041,{'$oid': '61c8c8dee8e3b248c77b7157'},Kisiizi Upper Pri Sch,2-037-1-032-04,74.05541562,562,71.70818505,2021
5097,{'$oid': '61c8c8dee8e3b248c77b70fe'},Omuburama Pri Sch,2-037-2-014-03,77.49287749,515,71.84466019,2021
5133,{'$oid': '61c8c8dee8e3b248c77b7015'},Kimbugu Catholic Church,2-037-1-034-05,90.64039409,284,72.18309859,2021
5141,{'$oid': '61c8c8dee8e3b248c77b705e'},Katonya Health Centre Ii,2-037-1-022-05,90.86538462,290,72.06896552,2021
5144,{'$oid': '61c8c8dee8e3b248c77b7070'},Kagunga Sub County Hqtrs,2-037-3-012-02,58.01104972,254,72.04724409,2021
5226,{'$oid': '61c8c8dee8e3b248c77b7135'},Kilimbe Pri Sch,2-037-1-020-02,77.16894977,308,71.75324675,2021
5422,{'$oid': '61c8c8dee8e3b248c77b71e8'},Kizimya Catholic Church,2-037-1-021-08,86.08695652,330,71.51515152,2021
5531,{'$oid': '61c8c8dfe8e3b248c77b732f'},Kayanga Pentecostal Church,2-037-1-032-06,85.85858586,432,71.06481481,2021
5815,{'$oid': '61c8c8dee8e3b248c77b7275'},Nyarugando Health Centre Ii,2-037-1-026-03,74.38016529,345,71.30434783,2021
5861,{'$oid': '61c8c8dee8e3b248c77b722c'},Kisiizi Health Centre Ii,2-037-1-032-08,87.29281768,259,71.42857143,2021
5906,{'$oid': '61c8c8dfe8e3b248c77b7383'},Kichwamba Catholic Church,2-037-1-030-06,87.5,286,70.97902098,2021
