,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
524,{'$oid': '61c8c8dae8e3b248c77b5f66'},Kapkoloswo,3-059-1-039-01,89.05109489,715,98.88111888,2021
897,{'$oid': '61c8c8dae8e3b248c77b5f25'},Chemuron,3-059-1-041-04,89.91596639,120,99.16666667,2021
1116,{'$oid': '61c8c8dbe8e3b248c77b61ad'},Kubobei,3-059-1-044-01,93.44827586,321,90.65420561,2021
1130,{'$oid': '61c8c8dbe8e3b248c77b623b'},Kurumbet Lc1 Meeting Point,3-059-1-064-03,95.18072289,192,87.5,2021
1244,{'$oid': '61c8c8dbe8e3b248c77b61a7'},Borowon Parish Hqtrs,3-059-1-035-02,100.0,248,90.72580645,2021
1362,{'$oid': '61c8c8dbe8e3b248c77b6196'},Kapsarur Pri. Sch.,3-059-1-029-01,88.93442623,271,91.14391144,2021
1382,{'$oid': '61c8c8dbe8e3b248c77b6247'},Chemuron,3-059-1-026-04,89.28571429,134,87.31343284,2021
1464,{'$oid': '61c8c8dbe8e3b248c77b6152'},Chekwir Primary School,3-059-1-034-02,94.73684211,270,92.59259259,2021
1498,{'$oid': '61c8c8dbe8e3b248c77b625d'},Soset Lc1 Meeting Point,3-059-1-041-03,85.71428571,107,86.91588785,2021
1502,{'$oid': '61c8c8dbe8e3b248c77b6266'},Central,3-059-1-026-06,69.78417266,166,86.74698795,2021
1513,{'$oid': '61c8c8dbe8e3b248c77b62cb'},Kween,3-059-1-026-01,74.18181818,333,85.28528529,2021
1515,{'$oid': '61c8c8dbe8e3b248c77b62d5'},Kokorwo,3-059-1-028-01,77.77777778,269,85.13011152,2021
1533,{'$oid': '61c8c8dbe8e3b248c77b638f'},Brim Body Of Christ Church,3-059-1-050-01,94.11764706,231,83.11688312,2021
1542,{'$oid': '61c8c8dbe8e3b248c77b63ee'},Kapkomol,3-059-1-057-01,78.6407767,259,82.23938224,2021
