,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
5845,{'$oid': '61c8c8dfe8e3b248c77b739a'},Buyoga-Katango Playground,1-011-1-001-03,13.7254902,148,70.94594595,2021
5982,{'$oid': '61c8c8dfe8e3b248c77b7389'},Bujumba Subcty Hqtrs,1-011-1-001-01,11.76470588,465,70.96774194,2021
7382,{'$oid': '61c8c8e0e8e3b248c77b77fd'},Lusozi-Buziga,1-011-1-008-04,27.5,247,69.63562753,2021
8900,{'$oid': '61c8c8e1e8e3b248c77b7e6c'},Kasekulo-Ttubi,1-011-1-007-06,23.28767123,119,68.06722689,2021
10217,{'$oid': '61c8c8e2e8e3b248c77b84a6'},Buwanga-Ddamba,1-011-2-005-04,26.2295082,96,66.66666667,2021
10845,{'$oid': '61c8c8e2e8e3b248c77b870c'},Bugala Playground,1-011-1-005-02,23.35164835,559,66.18962433,2021
11082,{'$oid': '61c8c8e3e8e3b248c77b8805'},Bbungo Playground,1-011-1-007-10,24.0,200,66.0,2021
11295,{'$oid': '61c8c8e3e8e3b248c77b8abc'},Kibaale,1-011-1-007-03,20.25316456,278,65.4676259,2021
14390,{'$oid': '61c8c8e5e8e3b248c77b9405'},Njoga,1-011-1-009-03,34.21052632,187,63.63636364,2021
14406,{'$oid': '61c8c8e5e8e3b248c77b9463'},Kizira T/Centre,1-011-1-009-05,38.79781421,302,63.57615894,2021
15142,{'$oid': '61c8c8e6e8e3b248c77b9811'},Kibanga-Bulingo Play Ground,1-011-1-001-04,37.79069767,283,62.8975265,2021
15193,{'$oid': '61c8c8e6e8e3b248c77b9777'},Sserwangarwanga S.S.S,1-011-1-009-06,26.4604811,473,63.00211416,2021
15713,{'$oid': '61c8c8e6e8e3b248c77b99a9'},Buzingo,1-011-2-006-01,33.70165746,334,62.5748503,2021
15970,{'$oid': '61c8c8e6e8e3b248c77b9a04'},Mutambala Playground,1-011-1-007-07,23.17880795,264,62.5,2021
16169,{'$oid': '61c8c8e7e8e3b248c77b9cce'},Ntuwa,1-011-2-005-03,42.56756757,250,62.0,2021
16270,{'$oid': '61c8c8e7e8e3b248c77b9bd8'},Buyiri,1-011-1-003-04,24.84076433,267,62.17228464,2021
16457,{'$oid': '61c8c8e7e8e3b248c77b9b72'},Kibanga,1-011-1-005-01,31.96347032,355,62.25352113,2021
17227,{'$oid': '61c8c8e7e8e3b248c77ba058'},Bumangi Cath. Church,1-011-1-009-01,23.20441989,318,61.32075472,2021
17416,{'$oid': '61c8c8e7e8e3b248c77ba002'},Buswa,1-011-1-001-02,38.42364532,347,61.3832853,2021
17474,{'$oid': '61c8c8e7e8e3b248c77b9fda'},Katooke Playground,1-011-2-007-05,18.73111782,552,61.41304348,2021
18364,{'$oid': '61c8c8e8e8e3b248c77ba4a3'},Buwanga Pri. Sch,1-011-2-005-01,25.71428571,380,60.52631579,2021
18605,{'$oid': '61c8c8e8e8e3b248c77ba636'},Nakibanga,1-011-2-006-04,17.00288184,593,60.20236088,2021
18651,{'$oid': '61c8c8e8e8e3b248c77ba5b6'},Kyabwima-Kasenyi,1-011-1-009-04,24.65753425,257,60.31128405,2021
18736,{'$oid': '61c8c8e8e8e3b248c77ba63e'},Senero,1-011-1-007-05,29.74137931,412,60.19417476,2021
19453,{'$oid': '61c8c8e9e8e3b248c77ba6e6'},Maboga,1-011-1-008-03,21.05263158,308,60.06493506,2021
19458,{'$oid': '61c8c8e9e8e3b248c77ba722'},Ssese Farm School,1-011-1-006-02,32.97297297,640,60.0,2021
19517,{'$oid': '61c8c8e9e8e3b248c77ba901'},Kachanga Playground,1-011-2-002-10,31.27753304,389,59.640102830000004,2021
20245,{'$oid': '61c8c8e9e8e3b248c77bac81'},Kasamba,1-011-1-004-01,36.0,263,58.93536122,2021
20357,{'$oid': '61c8c8e9e8e3b248c77bac57'},Mweena,1-011-1-006-03,38.43843844,580,58.96551724,2021
20580,{'$oid': '61c8c8e9e8e3b248c77bad14'},Busanga Pri. Sch,1-011-1-009-02,31.1023622,454,58.81057269,2021
20958,{'$oid': '61c8c8e9e8e3b248c77bad75'},Bbeta Pri. Sch (N-Z)- Childcare Compound,1-011-1-007-09,36.875,584,58.73287671,2021
21280,{'$oid': '61c8c8eae8e3b248c77bb02e'},Nkose-Lugaala,1-011-2-007-03,24.34210526,275,58.18181818,2021
21564,{'$oid': '61c8c8eae8e3b248c77bb097'},Kagulube Parish Qtrs,1-011-1-008-02,28.94736842,420,58.0952381,2021
21867,{'$oid': '61c8c8eae8e3b248c77bb22e'},Kisujju,1-011-1-002-05,41.98473282,232,57.75862069,2021
